# {"t_start": 1545290873.8704247, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.592662
-3.0,3,0.594382
-3.0,3,0.596142
-3.0,3,0.597881
-3.0,3,0.599572
-3.0,3,0.60136
-3.0,3,0.603155
-3.0,3,0.604908
-3.0,3,0.606528
-3.0,3,0.608155
-3.0,3,0.610036
-3.0,3,0.611863
-3.0,3,0.613359
-3.0,3,0.615102
-3.0,3,0.616847
-3.0,3,0.618639
-3.0,3,0.620344
-3.0,3,0.621963
-3.0,3,0.623609
-3.0,3,0.625187
-3.0,3,0.626767
-3.0,3,0.628451
-3.0,3,0.630069
-3.0,3,0.63158
-3.0,3,0.633301
-3.0,3,0.634979
-3.0,3,0.636625
-3.0,3,0.638301
-3.0,3,0.639946
-3.0,3,0.641587
-3.0,3,0.643344
-3.0,3,0.644913
-3.0,3,0.646484
-3.0,3,0.648118
-3.0,3,0.650002
-3.0,3,0.651779
-3.0,3,0.653522
-3.0,3,0.655339
-3.0,3,0.656983
-3.0,3,0.658677
-3.0,3,0.660284
-3.0,3,0.661948
-3.0,3,0.663633
-3.0,3,0.665369
-3.0,3,0.667206
-3.0,3,0.668876
-3.0,3,0.670607
-3.0,3,0.672329
-3.0,3,0.673965
-3.0,3,0.675584
-3.0,3,0.677217
-3.0,3,0.678893
-3.0,3,0.680746
-3.0,3,0.682385
-3.0,3,0.68398
-3.0,3,0.685547
-3.0,3,0.687098
-3.0,3,0.688654
-3.0,3,0.690208
-3.0,3,0.691761
-3.0,3,0.693313
-3.0,3,0.69486
-3.0,3,0.69642
-3.0,3,0.69796
-3.0,3,0.699629
-3.0,3,0.701217
-3.0,3,0.702878
-3.0,3,0.70452
-3.0,3,0.706064
-3.0,3,0.707696
-3.0,3,0.709324
-3.0,3,0.710948
-3.0,3,0.712601
-3.0,3,0.714232
-3.0,3,0.715887
-3.0,3,0.717427
-3.0,3,0.718989
-3.0,3,0.720538
-3.0,3,0.72219
-3.0,3,0.723802
-3.0,3,0.725396
-3.0,3,0.727047
-3.0,3,0.728611
-3.0,3,0.730285
-3.0,3,0.731936
-3.0,3,0.733615
-3.0,3,0.735156
-3.0,3,0.736844
-3.0,3,0.738456
-3.0,3,0.74013
-3.0,3,0.741811
-3.0,3,0.743392
-3.0,3,0.745156
-3.0,3,0.74685
-3.0,3,0.748553
-3.0,3,0.750321
-3.0,3,0.752045
-3.0,3,0.753678
-3.0,3,0.755349
-3.0,3,0.757041
-3.0,3,0.758758
-3.0,3,0.760433
-3.0,3,0.762153
-3.0,3,0.763908
-3.0,3,0.76556
-3.0,3,0.767306
-3.0,3,0.769038
-3.0,3,0.770824
-3.0,3,0.772529
-3.0,3,0.774246
-3.0,3,0.776007
-3.0,3,0.777739
-3.0,3,0.779509
-3.0,3,0.781175
-3.0,3,0.782863
-3.0,3,0.784549
-3.0,3,0.786192
-3.0,3,0.787851
