# {"t_start": 1545323757.01304, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,1.105959
-3.0,3,1.107467
-3.0,3,1.109266
-3.0,3,1.111172
-3.0,3,1.113101
-3.0,3,1.114975
-3.0,3,1.116843
-3.0,3,1.118705
-3.0,3,1.12053
-3.0,3,1.122743
-3.0,3,1.124541
-3.0,3,1.126207
-3.0,3,1.127776
-3.0,3,1.12938
-3.0,3,1.130911
-3.0,3,1.13239
-3.0,3,1.133869
-3.0,3,1.135366
-3.0,3,1.136841
-3.0,3,1.138311
-3.0,3,1.139869
-3.0,3,1.141371
-3.0,3,1.142859
-3.0,3,1.145086
-3.0,3,1.146588
-3.0,3,1.148079
-3.0,3,1.149652
-3.0,3,1.151221
-3.0,3,1.152802
-3.0,3,1.154396
-3.0,3,1.15607
-3.0,3,1.157482
-3.0,3,1.159018
-3.0,3,1.160576
-3.0,3,1.162487
-3.0,3,1.164099
-3.0,3,1.165625
-3.0,3,1.167091
-3.0,3,1.168553
-3.0,3,1.17002
-3.0,3,1.171503
-3.0,3,1.173144
-3.0,3,1.174649
-3.0,3,1.176177
-3.0,3,1.177695
-3.0,3,1.179201
-3.0,3,1.180996
-3.0,3,1.182466
-3.0,3,1.183935
-3.0,3,1.185504
-3.0,3,1.187023
-3.0,3,1.188695
-3.0,3,1.190387
-3.0,3,1.191996
-3.0,3,1.193643
-3.0,3,1.19521
-3.0,3,1.196774
-3.0,3,1.198736
-3.0,3,1.200286
-3.0,3,1.201944
-3.0,3,1.203672
-3.0,3,1.205488
-3.0,3,1.207215
-3.0,3,1.208792
-3.0,3,1.210339
-3.0,3,1.211911
-3.0,3,1.213833
-3.0,3,1.21542
-3.0,3,1.216914
-3.0,3,1.218406
-3.0,3,1.220142
-3.0,3,1.221781
-3.0,3,1.223371
-3.0,3,1.224837
-3.0,3,1.226358
-3.0,3,1.227854
-3.0,3,1.229804
-3.0,3,1.231481
-3.0,3,1.23312
-3.0,3,1.234694
-3.0,3,1.236304
-3.0,3,1.237806
-3.0,3,1.239377
-3.0,3,1.240814
-3.0,3,1.242389
-3.0,3,1.244332
-3.0,3,1.246168
-3.0,3,1.2478
-3.0,3,1.249251
-3.0,3,1.250696
-3.0,3,1.252163
-3.0,3,1.2537
-3.0,3,1.255742
-3.0,3,1.257194
-3.0,3,1.259016
-3.0,3,1.260869
-3.0,3,1.262916
-3.0,3,1.264681
-3.0,3,1.266243
-3.0,3,1.267826
-3.0,3,1.269433
-3.0,3,1.271006
-3.0,3,1.272615
-3.0,3,1.274148
-3.0,3,1.275917
-3.0,3,1.277962
-3.0,3,1.27974
-3.0,3,1.281362
-3.0,3,1.282987
-3.0,3,1.284553
-3.0,3,1.285968
-3.0,3,1.287369
-3.0,3,1.288985
-3.0,3,1.290403
-3.0,3,1.292167
-3.0,3,1.293994
-3.0,3,1.295706
-3.0,3,1.297236
-3.0,3,1.29897
-3.0,3,1.300663
-3.0,3,1.302156
-3.0,3,1.303661
-3.0,3,1.305342
-3.0,3,1.30707
-3.0,3,1.308645
-3.0,3,1.310608
-3.0,3,1.312296
-3.0,3,1.313988
-3.0,3,1.315801
-3.0,3,1.317698
-3.0,3,1.319509
-3.0,3,1.321413
-3.0,3,1.323187
-3.0,3,1.324923
-3.0,3,1.326648
-3.0,3,1.328779
-3.0,3,1.330539
-3.0,3,1.332366
-3.0,3,1.334191
-3.0,3,1.336034
-3.0,3,1.337711
-3.0,3,1.339438
-3.0,3,1.341046
-3.0,3,1.342645
-3.0,3,1.344434
-3.0,3,1.346194
-3.0,3,1.347842
-3.0,3,1.349497
-3.0,3,1.351153
-3.0,3,1.352783
-3.0,3,1.354491
-3.0,3,1.356415
-3.0,3,1.358106
-3.0,3,1.359712
-3.0,3,1.3617
-3.0,3,1.363384
-3.0,3,1.365026
-3.0,3,1.366643
-3.0,3,1.368273
