# {"t_start": 1545330149.0082653, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.590339
-3.0,3,0.592316
-3.0,3,0.594178
-3.0,3,0.596011
-3.0,3,0.5978
-3.0,3,0.599547
-3.0,3,0.601609
-3.0,3,0.603506
-3.0,3,0.605326
-3.0,3,0.607103
-3.0,3,0.608882
-3.0,3,0.610575
-3.0,3,0.61245
-3.0,3,0.614369
-3.0,3,0.616295
-3.0,3,0.617977
-3.0,3,0.619927
-3.0,3,0.621614
-3.0,3,0.623223
-3.0,3,0.624987
-3.0,3,0.626656
-3.0,3,0.628276
-3.0,3,0.629774
-3.0,3,0.631364
-3.0,3,0.632954
-3.0,3,0.634469
-3.0,3,0.635956
-3.0,3,0.637475
-3.0,3,0.63896
-3.0,3,0.64047
-3.0,3,0.641983
-3.0,3,0.643426
-3.0,3,0.644961
-3.0,3,0.646516
-3.0,3,0.648056
-3.0,3,0.649569
-3.0,3,0.651058
-3.0,3,0.652714
-3.0,3,0.654305
-3.0,3,0.655983
-3.0,3,0.65774
-3.0,3,0.659424
-3.0,3,0.660924
-3.0,3,0.662464
-3.0,3,0.663945
-3.0,3,0.665509
-3.0,3,0.667065
-3.0,3,0.66861
-3.0,3,0.670129
-3.0,3,0.671665
-3.0,3,0.673463
-3.0,3,0.675302
-3.0,3,0.67701
-3.0,3,0.678565
-3.0,3,0.680037
-3.0,3,0.681807
-3.0,3,0.6837
-3.0,3,0.685652
-3.0,3,0.687462
-3.0,3,0.6893
-3.0,3,0.691187
-3.0,3,0.692996
-3.0,3,0.694825
-3.0,3,0.696641
-3.0,3,0.698469
-3.0,3,0.700321
-3.0,3,0.702348
-3.0,3,0.704274
-3.0,3,0.706167
-3.0,3,0.708089
-3.0,3,0.709871
-3.0,3,0.711623
-3.0,3,0.71324
-3.0,3,0.715038
-3.0,3,0.716764
-3.0,3,0.718642
-3.0,3,0.720742
-3.0,3,0.722513
-3.0,3,0.724401
-3.0,3,0.726185
-3.0,3,0.727969
-3.0,3,0.729704
-3.0,3,0.731331
-3.0,3,0.733032
-3.0,3,0.73465
-3.0,3,0.736348
-3.0,3,0.737969
-3.0,3,0.739668
-3.0,3,0.741413
-3.0,3,0.743258
-3.0,3,0.745089
-3.0,3,0.746788
-3.0,3,0.748379
-3.0,3,0.750034
-3.0,3,0.75176
-3.0,3,0.75369
-3.0,3,0.755358
-3.0,3,0.756994
-3.0,3,0.75858
-3.0,3,0.760228
-3.0,3,0.761948
-3.0,3,0.763928
-3.0,3,0.765786
-3.0,3,0.7675
-3.0,3,0.769174
-3.0,3,0.770854
-3.0,3,0.772617
-3.0,3,0.774218
-3.0,3,0.775874
-3.0,3,0.777744
-3.0,3,0.779631
-3.0,3,0.78138
-3.0,3,0.783127
-3.0,3,0.78479
-3.0,3,0.786356
-3.0,3,0.788023
-3.0,3,0.789716
-3.0,3,0.791278
-3.0,3,0.792747
-3.0,3,0.794218
-3.0,3,0.795684
-3.0,3,0.797182
-3.0,3,0.798644
-3.0,3,0.800096
-3.0,3,0.801562
-3.0,3,0.803025
-3.0,3,0.804492
-3.0,3,0.805963
-3.0,3,0.807451
-3.0,3,0.808939
-3.0,3,0.810395
-3.0,3,0.811886
-3.0,3,0.813375
-3.0,3,0.814868
-3.0,3,0.816365
-3.0,3,0.817852
-3.0,3,0.819343
-3.0,3,0.820838
-3.0,3,0.822304
-3.0,3,0.82379
-3.0,3,0.825294
-3.0,3,0.826764
-3.0,3,0.828265
-3.0,3,0.830051
-3.0,3,0.831764
-3.0,3,0.833434
-3.0,3,0.835143
-3.0,3,0.836843
-3.0,3,0.838627
-3.0,3,0.840341
-3.0,3,0.842189
-3.0,3,0.844
-3.0,3,0.845783
-3.0,3,0.847571
-3.0,3,0.849265
-3.0,3,0.851068
-3.0,3,0.852869
-3.0,3,0.854645
-3.0,3,0.856322
-3.0,3,0.858128
-3.0,3,0.859939
-3.0,3,0.86169
-3.0,3,0.863493
-3.0,3,0.865309
-3.0,3,0.867061
-3.0,3,0.868785
-3.0,3,0.870548
-3.0,3,0.872283
-3.0,3,0.87403
-3.0,3,0.875819
-3.0,3,0.877642
-3.0,3,0.879423
-3.0,3,0.881319
-3.0,3,0.88318
-3.0,3,0.884922
-3.0,3,0.886689
-3.0,3,0.8884
-3.0,3,0.890127
-3.0,3,0.891898
-3.0,3,0.893693
-3.0,3,0.895484
-3.0,3,0.897238
-3.0,3,0.898883
-3.0,3,0.900605
-3.0,3,0.902273
-3.0,3,0.904003
-3.0,3,0.905707
-3.0,3,0.907425
-3.0,3,0.909083
-3.0,3,0.910813
-3.0,3,0.912493
-3.0,3,0.914158
-3.0,3,0.915907
-3.0,3,0.917704
-3.0,3,0.919428
-3.0,3,0.921139
-3.0,3,0.922828
-3.0,3,0.924528
-3.0,3,0.926298
-3.0,3,0.927968
-3.0,3,0.929718
-3.0,3,0.931358
-3.0,3,0.933053
-3.0,3,0.934836
-3.0,3,0.93649
-3.0,3,0.938221
-3.0,3,0.939918
-3.0,3,0.941594
-3.0,3,0.943281
-3.0,3,0.945038
-3.0,3,0.946737
-3.0,3,0.948504
-3.0,3,0.950193
-3.0,3,0.951867
-3.0,3,0.953547
-3.0,3,0.955208
-3.0,3,0.957048
-3.0,3,0.958916
-3.0,3,0.960593
-3.0,3,0.962299
-3.0,3,0.963967
-3.0,3,0.965664
-3.0,3,0.967347
-3.0,3,0.969025
-3.0,3,0.970727
-3.0,3,0.972406
-3.0,3,0.974156
-3.0,3,0.975864
-3.0,3,0.977576
-3.0,3,0.979306
-3.0,3,0.980962
-3.0,3,0.982704
-3.0,3,0.984423
-3.0,3,0.986072
-3.0,3,0.98772
-3.0,3,0.989352
-3.0,3,0.991139
-3.0,3,0.992862
-3.0,3,0.994421
-3.0,3,0.996324
-3.0,3,0.998073
-3.0,3,0.999889
-3.0,3,1.001905
-3.0,3,1.003711
-3.0,3,1.005571
-3.0,3,1.007289
-3.0,3,1.009071
-3.0,3,1.010832
-3.0,3,1.012576
-3.0,3,1.014214
-3.0,3,1.015832
-3.0,3,1.017465
-3.0,3,1.019029
-3.0,3,1.020706
-3.0,3,1.022526
-3.0,3,1.024365
-3.0,3,1.026058
-3.0,3,1.027779
-3.0,3,1.029442
-3.0,3,1.031137
-3.0,3,1.03293
-3.0,3,1.034559
-3.0,3,1.036201
-3.0,3,1.037841
-3.0,3,1.039535
-3.0,3,1.041213
-3.0,3,1.043112
-3.0,3,1.0449
-3.0,3,1.046493
-3.0,3,1.048144
-3.0,3,1.049936
-3.0,3,1.051744
-3.0,3,1.053422
-3.0,3,1.05514
-3.0,3,1.056804
-3.0,3,1.058474
-3.0,3,1.06019
-3.0,3,1.061918
-3.0,3,1.063649
-3.0,3,1.065322
-3.0,3,1.067177
-3.0,3,1.068874
-3.0,3,1.070583
-3.0,3,1.072251
-3.0,3,1.073906
-3.0,3,1.075761
-3.0,3,1.077446
-3.0,3,1.079177
-3.0,3,1.080795
-3.0,3,1.082429
-3.0,3,1.08405
-3.0,3,1.085744
-3.0,3,1.08734
-3.0,3,1.088979
-3.0,3,1.090646
-3.0,3,1.092323
-3.0,3,1.094133
-3.0,3,1.095956
-3.0,3,1.097616
-3.0,3,1.099277
-3.0,3,1.100911
-3.0,3,1.102592
-3.0,3,1.104267
-3.0,3,1.10596
-3.0,3,1.107737
-3.0,3,1.109402
-3.0,3,1.111087
-3.0,3,1.112828
-3.0,3,1.114579
-3.0,3,1.116326
-3.0,3,1.118159
-3.0,3,1.119909
-3.0,3,1.121519
-3.0,3,1.123086
-3.0,3,1.124884
-3.0,3,1.126606
-3.0,3,1.128231
-3.0,3,1.129802
-3.0,3,1.131354
-3.0,3,1.132897
-3.0,3,1.134602
-3.0,3,1.136266
-3.0,3,1.137889
-3.0,3,1.139488
-3.0,3,1.141041
-3.0,3,1.142854
-3.0,3,1.144783
-3.0,3,1.146646
-3.0,3,1.148488
-3.0,3,1.150347
-3.0,3,1.152178
-3.0,3,1.153949
-3.0,3,1.155591
-3.0,3,1.157139
-3.0,3,1.158741
-3.0,3,1.160538
