# {"t_start": 1545330649.5872664, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.59754
-3.0,3,0.599327
-3.0,3,0.60124
-3.0,3,0.602921
-3.0,3,0.604613
-3.0,3,0.606313
-3.0,3,0.608147
-3.0,3,0.609575
-3.0,3,0.611106
-3.0,3,0.612531
-3.0,3,0.614022
-3.0,3,0.615546
-3.0,3,0.617059
-3.0,3,0.618538
-3.0,3,0.619964
-3.0,3,0.621392
-3.0,3,0.622817
-3.0,3,0.624239
-3.0,3,0.62567
-3.0,3,0.627094
-3.0,3,0.628514
-3.0,3,0.629935
-3.0,3,0.631358
-3.0,3,0.632777
-3.0,3,0.634201
-3.0,3,0.635636
-3.0,3,0.637063
-3.0,3,0.638564
-3.0,3,0.64009
-3.0,3,0.641741
-3.0,3,0.643336
-3.0,3,0.64497
-3.0,3,0.646603
-3.0,3,0.648185
-3.0,3,0.649707
-3.0,3,0.651316
-3.0,3,0.653064
-3.0,3,0.65796
-3.0,3,0.660976
-3.0,3,0.662606
-3.0,3,0.664101
-3.0,3,0.665668
-3.0,3,0.667254
-3.0,3,0.671353
-3.0,3,0.673234
-3.0,3,0.674959
-3.0,3,0.676567
-3.0,3,0.678689
-3.0,3,0.680361
-3.0,3,0.682036
-3.0,3,0.683715
-3.0,3,0.685381
-3.0,3,0.687
-3.0,3,0.688586
-3.0,3,0.690176
-3.0,3,0.691906
-3.0,3,0.693512
-3.0,3,0.695106
-3.0,3,0.696759
-3.0,3,0.698408
-3.0,3,0.700043
-3.0,3,0.701699
-3.0,3,0.703359
-3.0,3,0.705015
-3.0,3,0.706593
-3.0,3,0.708175
-3.0,3,0.709893
-3.0,3,0.711535
-3.0,3,0.713192
-3.0,3,0.714861
-3.0,3,0.716484
-3.0,3,0.71809
-3.0,3,0.719692
-3.0,3,0.721297
-3.0,3,0.722901
-3.0,3,0.724535
-3.0,3,0.726203
-3.0,3,0.727855
-3.0,3,0.729456
-3.0,3,0.73104
-3.0,3,0.732615
-3.0,3,0.734352
-3.0,3,0.736017
-3.0,3,0.737762
-3.0,3,0.739314
-3.0,3,0.741205
-3.0,3,0.743744
-3.0,3,0.746054
-3.0,3,0.747794
-3.0,3,0.749622
-3.0,3,0.751384
-3.0,3,0.753219
-3.0,3,0.75901
-3.0,3,0.763774
-3.0,3,0.765714
-3.0,3,0.76732
-3.0,3,0.768911
-3.0,3,0.770425
-3.0,3,0.771964
-3.0,3,0.773517
-3.0,3,0.775229
-3.0,3,0.777113
-3.0,3,0.778945
-3.0,3,0.78059
-3.0,3,0.782276
-3.0,3,0.783937
-3.0,3,0.785505
-3.0,3,0.787115
-3.0,3,0.788764
-3.0,3,0.790367
-3.0,3,0.792109
-3.0,3,0.794147
-3.0,3,0.795974
-3.0,3,0.797715
-3.0,3,0.799572
-3.0,3,0.801192
-3.0,3,0.802647
-3.0,3,0.804094
-3.0,3,0.805542
-3.0,3,0.807082
-3.0,3,0.808687
-3.0,3,0.810452
-3.0,3,0.812562
-3.0,3,0.814255
-3.0,3,0.8158
-3.0,3,0.81732
-3.0,3,0.818763
-3.0,3,0.820452
-3.0,3,0.822002
-3.0,3,0.823611
-3.0,3,0.825216
-3.0,3,0.82686
-3.0,3,0.82848
-3.0,3,0.829991
-3.0,3,0.831508
-3.0,3,0.833007
-3.0,3,0.834498
-3.0,3,0.836056
-3.0,3,0.837553
-3.0,3,0.839162
-3.0,3,0.84085
-3.0,3,0.84248
-3.0,3,0.844093
-3.0,3,0.845707
-3.0,3,0.847321
-3.0,3,0.848943
-3.0,3,0.85057
-3.0,3,0.852124
-3.0,3,0.853622
-3.0,3,0.855244
-3.0,3,0.856807
-3.0,3,0.858371
-3.0,3,0.859987
-3.0,3,0.861602
-3.0,3,0.86317
-3.0,3,0.864658
-3.0,3,0.866143
-3.0,3,0.867697
-3.0,3,0.869186
-3.0,3,0.870673
-3.0,3,0.872373
-3.0,3,0.874057
-3.0,3,0.875678
-3.0,3,0.877354
-3.0,3,0.879035
-3.0,3,0.880716
-3.0,3,0.882411
-3.0,3,0.884091
-3.0,3,0.885834
-3.0,3,0.88752
-3.0,3,0.88913
-3.0,3,0.890689
