# {"t_start": 1545333666.034078, "env_id": "MountainCar-v0"} 
r,l,t
-1.0,1,0.645453
-1.0,1,0.646218
-1.0,1,0.646812
-1.0,1,0.647484
-1.0,1,0.64829
-1.0,1,0.648938
-1.0,1,0.649583
-1.0,1,0.650215
-1.0,1,0.650825
-1.0,1,0.651446
-1.0,1,0.651979
-1.0,1,0.652725
-1.0,1,0.65335
-1.0,1,0.653947
-1.0,1,0.654535
-1.0,1,0.655192
-1.0,1,0.655788
-1.0,1,0.656439
-1.0,1,0.657093
-1.0,1,0.65768
-1.0,1,0.658291
-1.0,1,0.658941
-1.0,1,0.659597
-1.0,1,0.660245
-1.0,1,0.660843
-1.0,1,0.661362
-1.0,1,0.661948
-1.0,1,0.662566
-1.0,1,0.663198
-1.0,1,0.664232
-1.0,1,0.664833
-1.0,1,0.667914
-1.0,1,0.670042
-1.0,1,0.670778
-1.0,1,0.671507
-1.0,1,0.672091
-1.0,1,0.672748
-1.0,1,0.673408
-1.0,1,0.674074
-1.0,1,0.674696
-1.0,1,0.675301
-1.0,1,0.6759
-1.0,1,0.676476
-1.0,1,0.67707
-1.0,1,0.677662
-1.0,1,0.678327
-1.0,1,0.678931
-1.0,1,0.679498
-1.0,1,0.680111
-1.0,1,0.680717
-1.0,1,0.681411
-1.0,1,0.682045
-1.0,1,0.682746
-1.0,1,0.683359
-1.0,1,0.683967
-1.0,1,0.684539
-1.0,1,0.685098
-1.0,1,0.685704
-1.0,1,0.68631
-1.0,1,0.6869
-1.0,1,0.687427
-1.0,1,0.687957
-1.0,1,0.688519
-1.0,1,0.689151
-1.0,1,0.689763
-1.0,1,0.690387
-1.0,1,0.690977
-1.0,1,0.691563
-1.0,1,0.69209
-1.0,1,0.692663
-1.0,1,0.693276
-1.0,1,0.693856
-1.0,1,0.6944
-1.0,1,0.694932
-1.0,1,0.695457
-1.0,1,0.695994
-1.0,1,0.696581
-1.0,1,0.697163
-1.0,1,0.69768
-1.0,1,0.698208
-1.0,1,0.699119
-1.0,1,0.699768
-1.0,1,0.700403
-1.0,1,0.701331
-1.0,1,0.701996
-1.0,1,0.702627
-1.0,1,0.703725
-1.0,1,0.70462
-1.0,1,0.705278
-1.0,1,0.705812
-1.0,1,0.706459
-1.0,1,0.707062
-1.0,1,0.707594
-1.0,1,0.708176
-1.0,1,0.708769
-1.0,1,0.709327
-1.0,1,0.709912
-1.0,1,0.7105
-1.0,1,0.711085
-1.0,1,0.711622
-1.0,1,0.712171
-1.0,1,0.712752
-1.0,1,0.713276
-1.0,1,0.713773
-1.0,1,0.714334
-1.0,1,0.714986
-1.0,1,0.715546
-1.0,1,0.716129
-1.0,1,0.716768
-1.0,1,0.717342
-1.0,1,0.717918
-1.0,1,0.718456
-1.0,1,0.718991
-1.0,1,0.719599
-1.0,1,0.720143
-1.0,1,0.720678
-1.0,1,0.721218
-1.0,1,0.721794
-1.0,1,0.722367
-1.0,1,0.72294
-1.0,1,0.72352
-1.0,1,0.7241
-1.0,1,0.724611
-1.0,1,0.725188
-1.0,1,0.725787
-1.0,1,0.726387
-1.0,1,0.726957
-1.0,1,0.727532
-1.0,1,0.728138
-1.0,1,0.728659
-1.0,1,0.72918
-1.0,1,0.729715
-1.0,1,0.730238
-1.0,1,0.730757
-1.0,1,0.731334
-1.0,1,0.731916
-1.0,1,0.732556
-1.0,1,0.733192
-1.0,1,0.733856
-1.0,1,0.734405
-1.0,1,0.734986
-1.0,1,0.735598
-1.0,1,0.736293
-1.0,1,0.736998
-1.0,1,0.737575
-1.0,1,0.738185
-1.0,1,0.738785
-1.0,1,0.739381
-1.0,1,0.739981
-1.0,1,0.740591
-1.0,1,0.741185
-1.0,1,0.741789
-1.0,1,0.742367
-1.0,1,0.742905
-1.0,1,0.743451
-1.0,1,0.744028
-1.0,1,0.744661
-1.0,1,0.745315
-1.0,1,0.745919
-1.0,1,0.746496
-1.0,1,0.747094
-1.0,1,0.747673
-1.0,1,0.748185
-1.0,1,0.748696
-1.0,1,0.74921
-1.0,1,0.749717
-1.0,1,0.750253
-1.0,1,0.750807
-1.0,1,0.751323
-1.0,1,0.751834
-1.0,1,0.752387
-1.0,1,0.752934
-1.0,1,0.7535
-1.0,1,0.754065
-1.0,1,0.754636
-1.0,1,0.755175
-1.0,1,0.755718
-1.0,1,0.756228
-1.0,1,0.756749
-1.0,1,0.757257
-1.0,1,0.757772
-1.0,1,0.758279
-1.0,1,0.758788
-1.0,1,0.759303
-1.0,1,0.759813
-1.0,1,0.760323
-1.0,1,0.760857
-1.0,1,0.761364
-1.0,1,0.761919
-1.0,1,0.763638
-1.0,1,0.772102
-1.0,1,0.772919
-1.0,1,0.773546
-1.0,1,0.775594
-1.0,1,0.776987
-1.0,1,0.777791
-1.0,1,0.778505
-1.0,1,0.779206
-1.0,1,0.780066
-1.0,1,0.780971
-1.0,1,0.781815
-1.0,1,0.782623
-1.0,1,0.785813
-1.0,1,0.787945
-1.0,1,0.789171
-1.0,1,0.790343
-1.0,1,0.791022
-1.0,1,0.791666
-1.0,1,0.792269
-1.0,1,0.792863
-1.0,1,0.793448
-1.0,1,0.794029
-1.0,1,0.794633
-1.0,1,0.795214
-1.0,1,0.795871
-1.0,1,0.796639
-1.0,1,0.797347
-1.0,1,0.798312
-1.0,1,0.799203
-1.0,1,0.800065
-1.0,1,0.800989
-1.0,1,0.802075
-1.0,1,0.802837
-1.0,1,0.80344
-1.0,1,0.803982
-1.0,1,0.804509
-1.0,1,0.805026
