# {"t_start": 1545290498.285508, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.590014
-3.0,3,0.591853
-3.0,3,0.593683
-3.0,3,0.595546
-3.0,3,0.597197
-3.0,3,0.598969
-3.0,3,0.600446
-3.0,3,0.601968
-3.0,3,0.603545
-3.0,3,0.605167
-3.0,3,0.607006
-3.0,3,0.608783
-3.0,3,0.610766
-3.0,3,0.612374
-3.0,3,0.61422
-3.0,3,0.616186
-3.0,3,0.617722
-3.0,3,0.619421
-3.0,3,0.621249
-3.0,3,0.623034
-3.0,3,0.624708
-3.0,3,0.626387
-3.0,3,0.628218
-3.0,3,0.629759
-3.0,3,0.631348
-3.0,3,0.632866
-3.0,3,0.63442
-3.0,3,0.636121
-3.0,3,0.63782
-3.0,3,0.639438
-3.0,3,0.640969
-3.0,3,0.64245
-3.0,3,0.64409
-3.0,3,0.645751
-3.0,3,0.647496
-3.0,3,0.649272
-3.0,3,0.650934
-3.0,3,0.652628
-3.0,3,0.654387
-3.0,3,0.656118
-3.0,3,0.657803
-3.0,3,0.659581
-3.0,3,0.661368
-3.0,3,0.663149
-3.0,3,0.664879
-3.0,3,0.666613
-3.0,3,0.668455
-3.0,3,0.670244
-3.0,3,0.672038
-3.0,3,0.673761
-3.0,3,0.675512
-3.0,3,0.677629
-3.0,3,0.679337
-3.0,3,0.681052
-3.0,3,0.68259
-3.0,3,0.68418
-3.0,3,0.685871
-3.0,3,0.687573
-3.0,3,0.689192
-3.0,3,0.690884
-3.0,3,0.692586
-3.0,3,0.694342
-3.0,3,0.69604
-3.0,3,0.69751
-3.0,3,0.698953
-3.0,3,0.70041
-3.0,3,0.701857
-3.0,3,0.703296
-3.0,3,0.704812
-3.0,3,0.706383
-3.0,3,0.707946
-3.0,3,0.709509
-3.0,3,0.711071
-3.0,3,0.712639
-3.0,3,0.7142
-3.0,3,0.715785
-3.0,3,0.717433
-3.0,3,0.719019
-3.0,3,0.720582
-3.0,3,0.722145
-3.0,3,0.723705
-3.0,3,0.725324
-3.0,3,0.726891
-3.0,3,0.728455
-3.0,3,0.730008
-3.0,3,0.731571
-3.0,3,0.73322
-3.0,3,0.734862
-3.0,3,0.736473
-3.0,3,0.738164
-3.0,3,0.739813
-3.0,3,0.74156
-3.0,3,0.743398
-3.0,3,0.745234
-3.0,3,0.747097
-3.0,3,0.748817
-3.0,3,0.75045
-3.0,3,0.752156
