# {"t_start": 1545331014.8713644, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.595488
-3.0,3,0.597667
-3.0,3,0.599586
-3.0,3,0.601375
-3.0,3,0.603122
-3.0,3,0.604867
-3.0,3,0.606545
-3.0,3,0.608206
-3.0,3,0.609863
-3.0,3,0.611552
-3.0,3,0.613284
-3.0,3,0.615086
-3.0,3,0.616792
-3.0,3,0.618513
-3.0,3,0.620142
-3.0,3,0.62165
-3.0,3,0.623169
-3.0,3,0.624623
-3.0,3,0.626101
-3.0,3,0.627766
-3.0,3,0.629623
-3.0,3,0.631703
-3.0,3,0.633452
-3.0,3,0.635343
-3.0,3,0.637327
-3.0,3,0.63931
-3.0,3,0.641199
-3.0,3,0.643042
-3.0,3,0.644845
-3.0,3,0.64724
-3.0,3,0.649298
-3.0,3,0.650962
-3.0,3,0.652611
-3.0,3,0.654445
-3.0,3,0.656378
-3.0,3,0.65809
-3.0,3,0.659879
-3.0,3,0.661743
-3.0,3,0.66364
-3.0,3,0.665367
-3.0,3,0.66713
-3.0,3,0.668916
-3.0,3,0.670581
-3.0,3,0.672328
-3.0,3,0.674135
-3.0,3,0.675936
-3.0,3,0.677761
-3.0,3,0.679637
-3.0,3,0.681485
-3.0,3,0.683203
-3.0,3,0.684971
-3.0,3,0.686739
-3.0,3,0.688545
-3.0,3,0.690362
-3.0,3,0.692422
-3.0,3,0.694052
-3.0,3,0.6956
-3.0,3,0.697076
-3.0,3,0.698585
-3.0,3,0.70007
-3.0,3,0.701568
-3.0,3,0.703055
-3.0,3,0.704513
-3.0,3,0.705972
-3.0,3,0.707424
-3.0,3,0.708892
-3.0,3,0.710358
-3.0,3,0.711903
-3.0,3,0.713504
-3.0,3,0.715228
-3.0,3,0.716913
-3.0,3,0.718501
-3.0,3,0.720041
-3.0,3,0.721655
-3.0,3,0.723278
-3.0,3,0.724853
-3.0,3,0.726561
-3.0,3,0.728239
-3.0,3,0.729928
-3.0,3,0.731595
-3.0,3,0.733224
-3.0,3,0.734854
-3.0,3,0.736631
-3.0,3,0.738604
-3.0,3,0.740506
-3.0,3,0.742412
-3.0,3,0.744278
-3.0,3,0.745995
-3.0,3,0.747723
-3.0,3,0.749609
-3.0,3,0.751435
-3.0,3,0.753131
-3.0,3,0.754755
-3.0,3,0.756398
-3.0,3,0.757978
-3.0,3,0.759543
-3.0,3,0.7611
-3.0,3,0.762667
-3.0,3,0.764306
-3.0,3,0.765881
-3.0,3,0.767472
-3.0,3,0.769049
-3.0,3,0.770684
-3.0,3,0.772319
-3.0,3,0.773914
-3.0,3,0.775487
-3.0,3,0.777118
-3.0,3,0.778783
-3.0,3,0.780359
-3.0,3,0.781904
-3.0,3,0.783523
-3.0,3,0.78512
-3.0,3,0.786769
-3.0,3,0.788372
-3.0,3,0.789959
-3.0,3,0.791535
-3.0,3,0.793188
-3.0,3,0.794814
-3.0,3,0.796495
-3.0,3,0.798036
-3.0,3,0.799544
-3.0,3,0.80121
-3.0,3,0.802855
-3.0,3,0.804466
-3.0,3,0.806116
-3.0,3,0.807708
-3.0,3,0.809403
-3.0,3,0.810998
-3.0,3,0.812494
-3.0,3,0.814111
-3.0,3,0.815701
-3.0,3,0.817302
-3.0,3,0.818877
-3.0,3,0.820421
-3.0,3,0.821979
-3.0,3,0.823484
-3.0,3,0.824969
-3.0,3,0.826467
-3.0,3,0.828026
-3.0,3,0.82951
-3.0,3,0.831009
-3.0,3,0.832494
-3.0,3,0.834043
-3.0,3,0.835542
-3.0,3,0.837101
-3.0,3,0.838609
-3.0,3,0.840106
-3.0,3,0.841719
-3.0,3,0.843351
-3.0,3,0.844903
-3.0,3,0.846538
-3.0,3,0.848121
-3.0,3,0.849905
-3.0,3,0.851707
-3.0,3,0.853385
-3.0,3,0.855058
-3.0,3,0.856675
-3.0,3,0.858285
-3.0,3,0.85977
-3.0,3,0.861295
-3.0,3,0.862817
-3.0,3,0.864368
-3.0,3,0.865865
-3.0,3,0.867367
-3.0,3,0.868922
-3.0,3,0.870483
-3.0,3,0.871973
-3.0,3,0.873459
-3.0,3,0.875129
-3.0,3,0.876933
-3.0,3,0.878595
-3.0,3,0.880319
-3.0,3,0.882014
-3.0,3,0.883774
-3.0,3,0.885489
-3.0,3,0.887514
-3.0,3,0.889179
-3.0,3,0.890796
-3.0,3,0.892381
-3.0,3,0.898725
-3.0,3,0.901169
-3.0,3,0.903589
-3.0,3,0.905464
-3.0,3,0.907333
-3.0,3,0.909176
-3.0,3,0.911034
-3.0,3,0.912883
-3.0,3,0.914744
-3.0,3,0.917185
-3.0,3,0.919083
-3.0,3,0.920924
-3.0,3,0.922765
-3.0,3,0.924611
-3.0,3,0.926463
-3.0,3,0.928305
-3.0,3,0.930167
-3.0,3,0.932112
-3.0,3,0.934001
-3.0,3,0.935846
-3.0,3,0.937677
-3.0,3,0.939509
-3.0,3,0.941344
-3.0,3,0.943202
-3.0,3,0.94506
-3.0,3,0.94697
-3.0,3,0.948889
-3.0,3,0.950747
-3.0,3,0.952604
-3.0,3,0.95446
-3.0,3,0.956317
-3.0,3,0.958176
-3.0,3,0.960017
-3.0,3,0.961809
-3.0,3,0.963532
-3.0,3,0.965174
-3.0,3,0.966772
-3.0,3,0.968345
-3.0,3,0.969905
-3.0,3,0.971494
-3.0,3,0.973073
-3.0,3,0.974661
-3.0,3,0.976303
-3.0,3,0.983453
-3.0,3,0.985389
-3.0,3,0.987293
-3.0,3,0.98922
-3.0,3,0.991212
-3.0,3,0.993134
-3.0,3,0.995065
-3.0,3,0.996985
-3.0,3,0.998913
-3.0,3,1.000835
-3.0,3,1.002706
-3.0,3,1.004618
-3.0,3,1.00653
-3.0,3,1.00838
-3.0,3,1.010301
-3.0,3,1.012206
-3.0,3,1.014122
-3.0,3,1.016037
-3.0,3,1.017955
-3.0,3,1.019879
-3.0,3,1.02179
-3.0,3,1.023724
-3.0,3,1.025643
-3.0,3,1.02755
-3.0,3,1.029459
-3.0,3,1.031367
-3.0,3,1.033285
-3.0,3,1.035205
-3.0,3,1.037123
-3.0,3,1.039039
-3.0,3,1.040958
-3.0,3,1.042907
-3.0,3,1.044611
-3.0,3,1.04646
-3.0,3,1.048304
-3.0,3,1.050123
-3.0,3,1.051723
-3.0,3,1.053316
-3.0,3,1.05503
-3.0,3,1.056715
-3.0,3,1.058507
-3.0,3,1.060227
-3.0,3,1.061829
-3.0,3,1.06375
-3.0,3,1.065563
-3.0,3,1.067256
-3.0,3,1.068862
-3.0,3,1.070515
-3.0,3,1.072307
-3.0,3,1.074158
-3.0,3,1.075791
-3.0,3,1.077381
-3.0,3,1.079099
-3.0,3,1.080882
-3.0,3,1.08261
-3.0,3,1.084186
-3.0,3,1.085758
-3.0,3,1.087532
-3.0,3,1.089298
-3.0,3,1.091011
-3.0,3,1.092592
-3.0,3,1.094227
-3.0,3,1.095808
-3.0,3,1.097472
-3.0,3,1.099234
-3.0,3,1.100833
-3.0,3,1.102489
-3.0,3,1.104261
-3.0,3,1.106033
-3.0,3,1.107632
-3.0,3,1.109228
-3.0,3,1.110821
-3.0,3,1.112585
-3.0,3,1.114291
-3.0,3,1.115897
-3.0,3,1.117565
-3.0,3,1.119212
-3.0,3,1.120786
-3.0,3,1.122422
-3.0,3,1.124034
-3.0,3,1.125664
-3.0,3,1.12739
-3.0,3,1.129124
-3.0,3,1.130832
-3.0,3,1.132653
-3.0,3,1.134248
-3.0,3,1.136063
-3.0,3,1.137767
-3.0,3,1.139486
-3.0,3,1.141299
-3.0,3,1.143024
-3.0,3,1.144639
-3.0,3,1.146249
-3.0,3,1.147868
-3.0,3,1.149475
-3.0,3,1.151084
-3.0,3,1.152666
-3.0,3,1.154243
-3.0,3,1.155816
-3.0,3,1.157392
-3.0,3,1.158962
-3.0,3,1.160523
-3.0,3,1.162115
-3.0,3,1.16371
-3.0,3,1.165321
-3.0,3,1.166914
-3.0,3,1.168497
-3.0,3,1.170087
-3.0,3,1.171706
-3.0,3,1.17329
-3.0,3,1.174894
-3.0,3,1.176474
-3.0,3,1.178046
-3.0,3,1.179637
-3.0,3,1.181225
-3.0,3,1.182827
-3.0,3,1.184419
-3.0,3,1.186034
-3.0,3,1.187645
-3.0,3,1.18924
-3.0,3,1.190853
-3.0,3,1.192436
-3.0,3,1.194015
-3.0,3,1.195609
-3.0,3,1.197217
-3.0,3,1.19881
-3.0,3,1.200397
-3.0,3,1.202004
-3.0,3,1.20369
-3.0,3,1.2053
-3.0,3,1.206923
-3.0,3,1.20852
-3.0,3,1.210104
-3.0,3,1.211701
-3.0,3,1.213289
-3.0,3,1.2149
-3.0,3,1.216521
-3.0,3,1.218113
-3.0,3,1.219849
-3.0,3,1.221574
-3.0,3,1.223117
-3.0,3,1.224879
-3.0,3,1.22643
-3.0,3,1.228038
