# {"t_start": 1545333525.2368839, "env_id": "MountainCar-v0"} 
r,l,t
-1.0,1,0.620104
-1.0,1,0.621103
-1.0,1,0.621769
-1.0,1,0.622573
-1.0,1,0.623296
-1.0,1,0.624014
-1.0,1,0.624779
-1.0,1,0.625487
-1.0,1,0.62624
-1.0,1,0.626915
-1.0,1,0.627684
-1.0,1,0.628405
-1.0,1,0.629054
-1.0,1,0.629702
-1.0,1,0.630401
-1.0,1,0.631054
-1.0,1,0.6317
-1.0,1,0.63235
-1.0,1,0.633011
-1.0,1,0.633717
-1.0,1,0.634496
-1.0,1,0.635219
-1.0,1,0.635938
-1.0,1,0.63658
-1.0,1,0.637225
-1.0,1,0.637873
-1.0,1,0.638521
-1.0,1,0.639174
-1.0,1,0.639823
-1.0,1,0.640472
-1.0,1,0.641124
-1.0,1,0.641837
-1.0,1,0.642562
-1.0,1,0.643348
-1.0,1,0.644103
-1.0,1,0.644734
-1.0,1,0.645427
-1.0,1,0.646112
-1.0,1,0.64676
-1.0,1,0.64741
-1.0,1,0.648055
-1.0,1,0.648719
-1.0,1,0.649336
-1.0,1,0.649988
-1.0,1,0.650638
-1.0,1,0.651281
-1.0,1,0.651934
-1.0,1,0.652686
-1.0,1,0.65342
-1.0,1,0.654178
-1.0,1,0.654862
-1.0,1,0.655468
-1.0,1,0.656038
-1.0,1,0.656647
-1.0,1,0.657286
-1.0,1,0.657922
-1.0,1,0.65854
-1.0,1,0.659261
-1.0,1,0.660009
-1.0,1,0.660745
-1.0,1,0.661486
-1.0,1,0.662173
-1.0,1,0.662791
-1.0,1,0.66344
-1.0,1,0.664082
-1.0,1,0.664739
-1.0,1,0.665384
-1.0,1,0.666029
-1.0,1,0.666723
-1.0,1,0.667366
-1.0,1,0.668053
-1.0,1,0.668747
-1.0,1,0.669389
-1.0,1,0.670022
-1.0,1,0.6707
-1.0,1,0.671371
-1.0,1,0.672066
-1.0,1,0.672643
-1.0,1,0.673318
-1.0,1,0.674062
-1.0,1,0.674652
-1.0,1,0.675303
-1.0,1,0.675896
-1.0,1,0.676446
-1.0,1,0.677001
-1.0,1,0.677603
-1.0,1,0.678139
-1.0,1,0.678674
-1.0,1,0.679251
-1.0,1,0.679805
-1.0,1,0.680483
-1.0,1,0.681101
-1.0,1,0.681736
