# {"t_start": 1545324071.6564698, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.603524
-3.0,3,0.60536
-3.0,3,0.607144
-3.0,3,0.609088
-3.0,3,0.610861
-3.0,3,0.612713
-3.0,3,0.614576
-3.0,3,0.616456
-3.0,3,0.618191
-3.0,3,0.619921
-3.0,3,0.621599
-3.0,3,0.623461
-3.0,3,0.625305
-3.0,3,0.627064
-3.0,3,0.628782
-3.0,3,0.630548
-3.0,3,0.632349
-3.0,3,0.634047
-3.0,3,0.635641
-3.0,3,0.637261
-3.0,3,0.638964
-3.0,3,0.640591
-3.0,3,0.642199
-3.0,3,0.643781
-3.0,3,0.645376
-3.0,3,0.647052
-3.0,3,0.648802
-3.0,3,0.650615
-3.0,3,0.65223
-3.0,3,0.653988
-3.0,3,0.655843
-3.0,3,0.657521
-3.0,3,0.659278
-3.0,3,0.660851
-3.0,3,0.662413
-3.0,3,0.66397
-3.0,3,0.665644
-3.0,3,0.667346
-3.0,3,0.669088
-3.0,3,0.670789
-3.0,3,0.672492
-3.0,3,0.67416
-3.0,3,0.675761
-3.0,3,0.677471
-3.0,3,0.679099
-3.0,3,0.680753
-3.0,3,0.682459
-3.0,3,0.684235
-3.0,3,0.685906
-3.0,3,0.687693
-3.0,3,0.689325
-3.0,3,0.690964
-3.0,3,0.692567
-3.0,3,0.694168
-3.0,3,0.695885
-3.0,3,0.697547
-3.0,3,0.699277
-3.0,3,0.700977
-3.0,3,0.702545
-3.0,3,0.704207
-3.0,3,0.706132
-3.0,3,0.70795
-3.0,3,0.709648
-3.0,3,0.711257
-3.0,3,0.712809
-3.0,3,0.714575
-3.0,3,0.716256
-3.0,3,0.717875
-3.0,3,0.719475
-3.0,3,0.721213
-3.0,3,0.722888
-3.0,3,0.724571
-3.0,3,0.726182
-3.0,3,0.727709
-3.0,3,0.729225
-3.0,3,0.730747
-3.0,3,0.732258
-3.0,3,0.733918
-3.0,3,0.735504
-3.0,3,0.737083
-3.0,3,0.738587
-3.0,3,0.740158
-3.0,3,0.74174
-3.0,3,0.743379
-3.0,3,0.745006
-3.0,3,0.746536
-3.0,3,0.748155
-3.0,3,0.749668
-3.0,3,0.75117
-3.0,3,0.752684
-3.0,3,0.754268
-3.0,3,0.755913
-3.0,3,0.757553
-3.0,3,0.759222
-3.0,3,0.760868
-3.0,3,0.762312
-3.0,3,0.763946
-3.0,3,0.765525
-3.0,3,0.7671
-3.0,3,0.768609
-3.0,3,0.770182
-3.0,3,0.771825
-3.0,3,0.77346
-3.0,3,0.775161
-3.0,3,0.776742
-3.0,3,0.778384
-3.0,3,0.780018
-3.0,3,0.7816
-3.0,3,0.783104
-3.0,3,0.784614
-3.0,3,0.786185
-3.0,3,0.787812
-3.0,3,0.789465
-3.0,3,0.791035
-3.0,3,0.792623
-3.0,3,0.794208
-3.0,3,0.795791
-3.0,3,0.797364
-3.0,3,0.79885
-3.0,3,0.800467
-3.0,3,0.802095
-3.0,3,0.803629
-3.0,3,0.805249
-3.0,3,0.806771
-3.0,3,0.808278
-3.0,3,0.809866
-3.0,3,0.811393
-3.0,3,0.812959
-3.0,3,0.814482
-3.0,3,0.816
-3.0,3,0.817533
-3.0,3,0.819052
-3.0,3,0.820557
-3.0,3,0.822069
-3.0,3,0.823658
-3.0,3,0.825317
-3.0,3,0.826877
-3.0,3,0.828414
-3.0,3,0.82991
-3.0,3,0.831552
-3.0,3,0.833118
-3.0,3,0.834677
-3.0,3,0.836236
-3.0,3,0.837739
-3.0,3,0.839256
-3.0,3,0.840847
-3.0,3,0.84237
-3.0,3,0.843932
-3.0,3,0.845561
-3.0,3,0.847174
-3.0,3,0.848759
-3.0,3,0.85037
-3.0,3,0.852007
-3.0,3,0.853585
-3.0,3,0.855193
-3.0,3,0.856817
-3.0,3,0.858403
-3.0,3,0.859987
-3.0,3,0.861627
-3.0,3,0.863188
-3.0,3,0.864756
-3.0,3,0.86633
-3.0,3,0.868032
-3.0,3,0.869737
-3.0,3,0.871508
-3.0,3,0.873135
-3.0,3,0.874813
-3.0,3,0.876578
-3.0,3,0.878183
-3.0,3,0.879881
-3.0,3,0.881646
-3.0,3,0.883374
-3.0,3,0.885195
-3.0,3,0.886845
-3.0,3,0.888535
-3.0,3,0.89025
-3.0,3,0.891874
-3.0,3,0.8935
-3.0,3,0.895144
-3.0,3,0.896794
-3.0,3,0.898435
-3.0,3,0.900129
-3.0,3,0.901786
-3.0,3,0.90356
-3.0,3,0.905188
-3.0,3,0.906883
-3.0,3,0.908543
-3.0,3,0.910493
-3.0,3,0.912326
-3.0,3,0.913934
-3.0,3,0.915631
-3.0,3,0.917241
-3.0,3,0.918925
-3.0,3,0.920512
-3.0,3,0.922109
-3.0,3,0.923686
-3.0,3,0.925301
-3.0,3,0.926959
-3.0,3,0.92857
-3.0,3,0.930551
-3.0,3,0.932296
-3.0,3,0.934078
-3.0,3,0.935902
-3.0,3,0.937461
-3.0,3,0.938895
-3.0,3,0.940323
-3.0,3,0.941931
-3.0,3,0.943461
-3.0,3,0.944888
-3.0,3,0.946576
-3.0,3,0.948192
-3.0,3,0.949857
-3.0,3,0.951527
-3.0,3,0.953163
-3.0,3,0.95486
-3.0,3,0.956417
-3.0,3,0.957905
-3.0,3,0.959492
-3.0,3,0.961193
-3.0,3,0.962883
-3.0,3,0.964467
-3.0,3,0.966081
-3.0,3,0.967696
-3.0,3,0.969309
-3.0,3,0.970995
-3.0,3,0.972688
-3.0,3,0.974372
-3.0,3,0.976021
-3.0,3,0.977785
-3.0,3,0.979671
-3.0,3,0.981279
-3.0,3,0.982831
-3.0,3,0.984352
-3.0,3,0.985815
-3.0,3,0.987494
-3.0,3,0.98933
-3.0,3,0.991022
-3.0,3,0.992626
-3.0,3,0.994307
-3.0,3,0.996058
-3.0,3,0.997642
-3.0,3,0.999197
-3.0,3,1.000746
-3.0,3,1.002374
-3.0,3,1.003925
-3.0,3,1.005475
-3.0,3,1.007196
-3.0,3,1.008801
-3.0,3,1.010474
-3.0,3,1.012003
-3.0,3,1.013592
-3.0,3,1.015254
-3.0,3,1.016847
-3.0,3,1.018456
-3.0,3,1.020117
-3.0,3,1.02184
-3.0,3,1.023502
-3.0,3,1.025047
-3.0,3,1.026643
-3.0,3,1.028226
-3.0,3,1.029896
-3.0,3,1.031563
-3.0,3,1.033164
-3.0,3,1.034835
-3.0,3,1.03649
-3.0,3,1.038026
-3.0,3,1.039592
-3.0,3,1.041107
-3.0,3,1.042677
-3.0,3,1.044246
-3.0,3,1.045831
-3.0,3,1.047277
-3.0,3,1.048779
-3.0,3,1.050281
-3.0,3,1.051855
-3.0,3,1.053373
-3.0,3,1.054953
-3.0,3,1.05652
-3.0,3,1.058096
-3.0,3,1.059856
-3.0,3,1.061362
-3.0,3,1.062965
-3.0,3,1.064623
-3.0,3,1.066203
-3.0,3,1.067837
-3.0,3,1.06948
-3.0,3,1.071001
-3.0,3,1.072671
-3.0,3,1.074334
-3.0,3,1.075905
-3.0,3,1.077409
-3.0,3,1.078982
-3.0,3,1.080549
-3.0,3,1.082129
-3.0,3,1.083643
-3.0,3,1.085149
-3.0,3,1.086605
-3.0,3,1.088285
-3.0,3,1.089764
-3.0,3,1.091197
-3.0,3,1.092719
-3.0,3,1.09424
-3.0,3,1.095726
-3.0,3,1.097259
-3.0,3,1.098797
-3.0,3,1.100359
-3.0,3,1.10207
-3.0,3,1.103859
-3.0,3,1.105608
-3.0,3,1.107368
-3.0,3,1.109089
-3.0,3,1.110795
-3.0,3,1.112522
-3.0,3,1.114074
-3.0,3,1.115728
