# {"t_start": 1545333252.939103, "env_id": "MountainCar-v0"} 
r,l,t
-1.0,1,0.627344
-1.0,1,0.628202
-1.0,1,0.628975
-1.0,1,0.629658
-1.0,1,0.630258
-1.0,1,0.630865
-1.0,1,0.631438
-1.0,1,0.632008
-1.0,1,0.632654
-1.0,1,0.633432
-1.0,1,0.634086
-1.0,1,0.63537
-1.0,1,0.636038
-1.0,1,0.636739
-1.0,1,0.637362
-1.0,1,0.637992
-1.0,1,0.638711
-1.0,1,0.639244
-1.0,1,0.639783
-1.0,1,0.640431
-1.0,1,0.640991
-1.0,1,0.64169
-1.0,1,0.642365
-1.0,1,0.64294
-1.0,1,0.643489
-1.0,1,0.643999
-1.0,1,0.644623
-1.0,1,0.645257
-1.0,1,0.64589
-1.0,1,0.646586
-1.0,1,0.647291
-1.0,1,0.647919
-1.0,1,0.648606
-1.0,1,0.649292
-1.0,1,0.650008
-1.0,1,0.650589
-1.0,1,0.651265
-1.0,1,0.651928
-1.0,1,0.652627
-1.0,1,0.653285
-1.0,1,0.65388
-1.0,1,0.65447
-1.0,1,0.654997
-1.0,1,0.655549
-1.0,1,0.656041
-1.0,1,0.656608
-1.0,1,0.657142
-1.0,1,0.657676
-1.0,1,0.658281
-1.0,1,0.65887
-1.0,1,0.659529
-1.0,1,0.660308
-1.0,1,0.661156
-1.0,1,0.661781
-1.0,1,0.662358
-1.0,1,0.66299
-1.0,1,0.663592
-1.0,1,0.664159
-1.0,1,0.664711
-1.0,1,0.665272
-1.0,1,0.665821
-1.0,1,0.666482
-1.0,1,0.667111
-1.0,1,0.66766
-1.0,1,0.668297
-1.0,1,0.668861
-1.0,1,0.669435
-1.0,1,0.670044
-1.0,1,0.67072
-1.0,1,0.671437
-1.0,1,0.672031
-1.0,1,0.67258
-1.0,1,0.673103
-1.0,1,0.67371
-1.0,1,0.67428
-1.0,1,0.674902
-1.0,1,0.675748
-1.0,1,0.676324
-1.0,1,0.676986
-1.0,1,0.677599
-1.0,1,0.678162
-1.0,1,0.678703
-1.0,1,0.679302
-1.0,1,0.679836
-1.0,1,0.680381
-1.0,1,0.680908
-1.0,1,0.68145
-1.0,1,0.681977
-1.0,1,0.682658
-1.0,1,0.683343
-1.0,1,0.683979
-1.0,1,0.684909
-1.0,1,0.685524
-1.0,1,0.686125
-1.0,1,0.68674
-1.0,1,0.687315
-1.0,1,0.687864
-1.0,1,0.688551
-1.0,1,0.689237
-1.0,1,0.689978
-1.0,1,0.69067
-1.0,1,0.691279
-1.0,1,0.692013
-1.0,1,0.692719
-1.0,1,0.693326
-1.0,1,0.693874
-1.0,1,0.694484
-1.0,1,0.695092
-1.0,1,0.695698
-1.0,1,0.696294
-1.0,1,0.696863
-1.0,1,0.697453
-1.0,1,0.698039
-1.0,1,0.698655
-1.0,1,0.699233
-1.0,1,0.699834
-1.0,1,0.70044
-1.0,1,0.700951
-1.0,1,0.701468
-1.0,1,0.702103
-1.0,1,0.702764
-1.0,1,0.703423
-1.0,1,0.704115
-1.0,1,0.704692
-1.0,1,0.705294
-1.0,1,0.705865
-1.0,1,0.706482
-1.0,1,0.707063
-1.0,1,0.707607
-1.0,1,0.708207
-1.0,1,0.708813
-1.0,1,0.709527
-1.0,1,0.71034
-1.0,1,0.711249
-1.0,1,0.711824
-1.0,1,0.712384
-1.0,1,0.712937
-1.0,1,0.713494
-1.0,1,0.714029
-1.0,1,0.714578
-1.0,1,0.715121
-1.0,1,0.715654
-1.0,1,0.716202
-1.0,1,0.716751
-1.0,1,0.717298
-1.0,1,0.717847
-1.0,1,0.718401
-1.0,1,0.71895
-1.0,1,0.719494
-1.0,1,0.720041
-1.0,1,0.720583
-1.0,1,0.721124
-1.0,1,0.721663
-1.0,1,0.722216
-1.0,1,0.722763
-1.0,1,0.723309
-1.0,1,0.723857
-1.0,1,0.724475
-1.0,1,0.725317
-1.0,1,0.725947
-1.0,1,0.726502
-1.0,1,0.727145
-1.0,1,0.728026
-1.0,1,0.729156
-1.0,1,0.729821
-1.0,1,0.730431
-1.0,1,0.731026
-1.0,1,0.731649
-1.0,1,0.732234
-1.0,1,0.732821
-1.0,1,0.733403
-1.0,1,0.733988
-1.0,1,0.734583
-1.0,1,0.735166
-1.0,1,0.735743
-1.0,1,0.736318
-1.0,1,0.736892
-1.0,1,0.737466
-1.0,1,0.738044
-1.0,1,0.738636
-1.0,1,0.739168
-1.0,1,0.739752
-1.0,1,0.740329
-1.0,1,0.740835
-1.0,1,0.741396
-1.0,1,0.742087
-1.0,1,0.742691
-1.0,1,0.743281
-1.0,1,0.743812
-1.0,1,0.744345
-1.0,1,0.744874
-1.0,1,0.745409
-1.0,1,0.745915
-1.0,1,0.746419
-1.0,1,0.746971
-1.0,1,0.747553
-1.0,1,0.748064
-1.0,1,0.748591
-1.0,1,0.749113
-1.0,1,0.749643
-1.0,1,0.750293
-1.0,1,0.750979
-1.0,1,0.751552
-1.0,1,0.752146
-1.0,1,0.752736
-1.0,1,0.753298
-1.0,1,0.753884
-1.0,1,0.754418
-1.0,1,0.75497
-1.0,1,0.755493
-1.0,1,0.756019
-1.0,1,0.756571
-1.0,1,0.757125
-1.0,1,0.757702
-1.0,1,0.758281
-1.0,1,0.758891
-1.0,1,0.759605
-1.0,1,0.760319
-1.0,1,0.7614
-1.0,1,0.762187
-1.0,1,0.762849
-1.0,1,0.763434
-1.0,1,0.763963
-1.0,1,0.764598
-1.0,1,0.7652
-1.0,1,0.765803
-1.0,1,0.766385
-1.0,1,0.766924
-1.0,1,0.767429
-1.0,1,0.767935
-1.0,1,0.768445
-1.0,1,0.768954
-1.0,1,0.769458
-1.0,1,0.769965
-1.0,1,0.770483
-1.0,1,0.771054
-1.0,1,0.771635
-1.0,1,0.772215
-1.0,1,0.77281
-1.0,1,0.773386
-1.0,1,0.773956
-1.0,1,0.774575
-1.0,1,0.775358
-1.0,1,0.775891
-1.0,1,0.776464
-1.0,1,0.777003
-1.0,1,0.77756
-1.0,1,0.778316
-1.0,1,0.779046
