# {"t_start": 1545324750.936974, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.607404
-3.0,3,0.60914
-3.0,3,0.610799
-3.0,3,0.612524
-3.0,3,0.614188
-3.0,3,0.615853
-3.0,3,0.617438
-3.0,3,0.619
-3.0,3,0.620649
-3.0,3,0.622221
-3.0,3,0.623921
-3.0,3,0.625597
-3.0,3,0.627394
-3.0,3,0.62905
-3.0,3,0.630874
-3.0,3,0.632487
-3.0,3,0.634062
-3.0,3,0.635625
-3.0,3,0.637187
-3.0,3,0.638767
-3.0,3,0.640348
-3.0,3,0.641918
-3.0,3,0.643474
-3.0,3,0.645037
-3.0,3,0.646594
-3.0,3,0.648369
-3.0,3,0.650675
-3.0,3,0.652293
-3.0,3,0.653815
-3.0,3,0.655293
-3.0,3,0.656764
-3.0,3,0.658476
-3.0,3,0.660307
-3.0,3,0.662244
-3.0,3,0.664003
-3.0,3,0.665548
-3.0,3,0.667157
-3.0,3,0.668661
-3.0,3,0.670158
-3.0,3,0.671651
-3.0,3,0.673354
-3.0,3,0.674844
-3.0,3,0.676331
-3.0,3,0.677885
-3.0,3,0.67944
-3.0,3,0.681003
-3.0,3,0.682638
-3.0,3,0.684337
-3.0,3,0.686014
-3.0,3,0.687676
-3.0,3,0.689306
-3.0,3,0.691026
-3.0,3,0.692693
-3.0,3,0.694392
-3.0,3,0.696007
-3.0,3,0.697647
-3.0,3,0.699246
-3.0,3,0.700801
-3.0,3,0.702465
-3.0,3,0.704148
-3.0,3,0.705915
-3.0,3,0.707538
-3.0,3,0.709208
-3.0,3,0.710778
-3.0,3,0.712446
-3.0,3,0.714255
-3.0,3,0.715902
-3.0,3,0.71758
-3.0,3,0.719294
-3.0,3,0.72108
-3.0,3,0.722692
-3.0,3,0.724414
-3.0,3,0.725988
-3.0,3,0.727715
-3.0,3,0.729469
-3.0,3,0.731149
-3.0,3,0.732741
-3.0,3,0.734329
-3.0,3,0.736044
-3.0,3,0.737628
-3.0,3,0.739333
-3.0,3,0.74113
-3.0,3,0.742931
-3.0,3,0.744542
-3.0,3,0.746289
-3.0,3,0.747958
-3.0,3,0.749825
-3.0,3,0.751631
-3.0,3,0.753287
-3.0,3,0.754871
-3.0,3,0.756439
-3.0,3,0.758147
-3.0,3,0.760048
-3.0,3,0.761711
-3.0,3,0.763353
-3.0,3,0.765106
-3.0,3,0.766914
-3.0,3,0.768645
-3.0,3,0.770291
-3.0,3,0.77193
-3.0,3,0.773658
-3.0,3,0.775467
-3.0,3,0.777038
-3.0,3,0.778752
-3.0,3,0.780457
-3.0,3,0.78205
-3.0,3,0.783627
-3.0,3,0.785203
-3.0,3,0.786768
-3.0,3,0.788337
-3.0,3,0.789927
-3.0,3,0.791478
-3.0,3,0.793099
-3.0,3,0.794678
-3.0,3,0.796246
-3.0,3,0.797823
-3.0,3,0.799402
-3.0,3,0.800961
-3.0,3,0.802548
-3.0,3,0.804193
-3.0,3,0.805768
-3.0,3,0.807339
-3.0,3,0.808892
-3.0,3,0.810462
-3.0,3,0.811936
-3.0,3,0.813374
-3.0,3,0.814808
-3.0,3,0.816231
-3.0,3,0.817695
-3.0,3,0.819139
-3.0,3,0.820595
-3.0,3,0.822023
-3.0,3,0.823452
-3.0,3,0.824881
-3.0,3,0.826308
-3.0,3,0.82775
-3.0,3,0.829197
-3.0,3,0.830638
-3.0,3,0.83214
-3.0,3,0.833583
-3.0,3,0.835031
-3.0,3,0.836469
-3.0,3,0.837907
-3.0,3,0.839356
-3.0,3,0.8408
-3.0,3,0.84224
-3.0,3,0.843673
-3.0,3,0.845218
-3.0,3,0.846659
-3.0,3,0.848108
-3.0,3,0.849557
-3.0,3,0.850996
-3.0,3,0.852431
-3.0,3,0.853872
-3.0,3,0.855316
-3.0,3,0.85675
-3.0,3,0.858214
-3.0,3,0.859729
-3.0,3,0.861175
-3.0,3,0.862611
-3.0,3,0.864048
-3.0,3,0.865485
-3.0,3,0.866923
-3.0,3,0.868349
-3.0,3,0.869791
-3.0,3,0.871233
-3.0,3,0.872667
-3.0,3,0.874156
-3.0,3,0.875593
-3.0,3,0.877042
-3.0,3,0.878475
-3.0,3,0.879951
-3.0,3,0.881405
-3.0,3,0.882845
-3.0,3,0.884351
-3.0,3,0.885817
-3.0,3,0.887256
-3.0,3,0.888697
-3.0,3,0.890128
-3.0,3,0.891572
-3.0,3,0.893116
-3.0,3,0.894646
-3.0,3,0.896102
-3.0,3,0.897554
-3.0,3,0.898994
-3.0,3,0.900496
-3.0,3,0.901934
-3.0,3,0.903371
-3.0,3,0.904873
-3.0,3,0.906303
-3.0,3,0.907735
-3.0,3,0.909286
-3.0,3,0.910724
-3.0,3,0.912163
-3.0,3,0.913603
-3.0,3,0.915039
-3.0,3,0.916478
-3.0,3,0.917921
-3.0,3,0.919358
-3.0,3,0.920819
-3.0,3,0.922259
-3.0,3,0.92376
-3.0,3,0.925203
-3.0,3,0.926633
-3.0,3,0.928076
-3.0,3,0.929523
-3.0,3,0.930957
-3.0,3,0.93242
-3.0,3,0.933854
-3.0,3,0.935294
-3.0,3,0.936739
-3.0,3,0.938174
-3.0,3,0.93961
-3.0,3,0.94106
-3.0,3,0.942497
-3.0,3,0.943938
-3.0,3,0.945433
-3.0,3,0.946865
-3.0,3,0.948306
-3.0,3,0.949747
-3.0,3,0.951186
-3.0,3,0.952639
-3.0,3,0.954073
-3.0,3,0.955511
-3.0,3,0.956943
-3.0,3,0.958381
-3.0,3,0.959867
-3.0,3,0.961312
-3.0,3,0.962746
-3.0,3,0.964181
-3.0,3,0.965615
-3.0,3,0.967048
-3.0,3,0.96848
-3.0,3,0.969914
-3.0,3,0.971348
-3.0,3,0.972799
-3.0,3,0.974229
-3.0,3,0.975656
-3.0,3,0.977094
-3.0,3,0.978533
-3.0,3,0.979967
-3.0,3,0.981409
-3.0,3,0.982846
-3.0,3,0.984423
-3.0,3,0.985857
-3.0,3,0.987292
-3.0,3,0.988741
-3.0,3,0.990174
-3.0,3,0.99161
-3.0,3,0.993209
-3.0,3,0.994664
-3.0,3,0.996098
-3.0,3,0.997529
-3.0,3,0.998954
-3.0,3,1.0004
-3.0,3,1.001825
-3.0,3,1.003244
-3.0,3,1.004743
-3.0,3,1.006168
-3.0,3,1.007583
-3.0,3,1.009012
-3.0,3,1.010438
-3.0,3,1.011862
-3.0,3,1.013287
-3.0,3,1.014707
-3.0,3,1.016127
-3.0,3,1.017555
-3.0,3,1.018973
-3.0,3,1.020402
-3.0,3,1.02183
-3.0,3,1.023264
-3.0,3,1.024694
-3.0,3,1.026135
