# {"t_start": 1545323615.6783946, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.591711
-3.0,3,0.593617
-3.0,3,0.595395
-3.0,3,0.597139
-3.0,3,0.598877
-3.0,3,0.60065
-3.0,3,0.602604
-3.0,3,0.604642
-3.0,3,0.606627
-3.0,3,0.60864
-3.0,3,0.610662
-3.0,3,0.612657
-3.0,3,0.61462
-3.0,3,0.616609
-3.0,3,0.618477
-3.0,3,0.620422
-3.0,3,0.622428
-3.0,3,0.624432
-3.0,3,0.626353
-3.0,3,0.628194
-3.0,3,0.63002
-3.0,3,0.631825
-3.0,3,0.633807
-3.0,3,0.635743
-3.0,3,0.637795
-3.0,3,0.639695
-3.0,3,0.641551
-3.0,3,0.64347
-3.0,3,0.645136
-3.0,3,0.646727
-3.0,3,0.64832
-3.0,3,0.649961
-3.0,3,0.651569
-3.0,3,0.653111
-3.0,3,0.654748
-3.0,3,0.656392
-3.0,3,0.657986
-3.0,3,0.659589
-3.0,3,0.66104
-3.0,3,0.662529
-3.0,3,0.664252
-3.0,3,0.665989
-3.0,3,0.667776
-3.0,3,0.669487
-3.0,3,0.671274
-3.0,3,0.672997
-3.0,3,0.67477
-3.0,3,0.676508
-3.0,3,0.678077
-3.0,3,0.679616
-3.0,3,0.681433
-3.0,3,0.683069
-3.0,3,0.684772
-3.0,3,0.686602
-3.0,3,0.688253
-3.0,3,0.690118
-3.0,3,0.691818
-3.0,3,0.693778
-3.0,3,0.695407
-3.0,3,0.69722
-3.0,3,0.699026
-3.0,3,0.700644
-3.0,3,0.702487
-3.0,3,0.704261
-3.0,3,0.705961
-3.0,3,0.707663
-3.0,3,0.709357
-3.0,3,0.710952
-3.0,3,0.712586
-3.0,3,0.714214
-3.0,3,0.715847
-3.0,3,0.717322
-3.0,3,0.718751
-3.0,3,0.720186
-3.0,3,0.721615
-3.0,3,0.723068
-3.0,3,0.724501
-3.0,3,0.725919
-3.0,3,0.72764
-3.0,3,0.729178
-3.0,3,0.730602
-3.0,3,0.732036
-3.0,3,0.73347
-3.0,3,0.734896
-3.0,3,0.736367
-3.0,3,0.737845
-3.0,3,0.739591
-3.0,3,0.741118
-3.0,3,0.742842
-3.0,3,0.744567
-3.0,3,0.746167
-3.0,3,0.747746
-3.0,3,0.749319
-3.0,3,0.750814
-3.0,3,0.75239
-3.0,3,0.753881
-3.0,3,0.75537
-3.0,3,0.756915
-3.0,3,0.758403
-3.0,3,0.759842
-3.0,3,0.761268
