# {"t_start": 1545330881.2331727, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.596431
-3.0,3,0.598438
-3.0,3,0.600321
-3.0,3,0.602334
-3.0,3,0.604279
-3.0,3,0.606092
-3.0,3,0.607859
-3.0,3,0.609498
-3.0,3,0.611334
-3.0,3,0.613181
-3.0,3,0.61519
-3.0,3,0.616971
-3.0,3,0.618828
-3.0,3,0.620705
-3.0,3,0.623096
-3.0,3,0.625062
-3.0,3,0.626837
-3.0,3,0.628634
-3.0,3,0.630375
-3.0,3,0.632041
-3.0,3,0.633731
-3.0,3,0.635356
-3.0,3,0.637047
-3.0,3,0.638681
-3.0,3,0.640517
-3.0,3,0.642254
-3.0,3,0.643962
-3.0,3,0.64564
-3.0,3,0.647163
-3.0,3,0.648611
-3.0,3,0.650039
-3.0,3,0.651462
-3.0,3,0.652894
-3.0,3,0.654317
-3.0,3,0.655745
-3.0,3,0.657177
-3.0,3,0.658593
-3.0,3,0.660017
-3.0,3,0.66145
-3.0,3,0.662897
-3.0,3,0.664376
-3.0,3,0.665801
-3.0,3,0.667236
-3.0,3,0.668681
-3.0,3,0.67014
-3.0,3,0.671719
-3.0,3,0.673578
-3.0,3,0.675274
-3.0,3,0.677002
-3.0,3,0.678633
-3.0,3,0.680225
-3.0,3,0.682088
-3.0,3,0.683824
-3.0,3,0.685463
-3.0,3,0.687195
-3.0,3,0.688985
-3.0,3,0.690745
-3.0,3,0.692469
-3.0,3,0.694145
-3.0,3,0.695743
-3.0,3,0.697428
-3.0,3,0.699133
-3.0,3,0.700817
-3.0,3,0.702344
-3.0,3,0.704025
-3.0,3,0.705955
-3.0,3,0.70785
-3.0,3,0.709641
-3.0,3,0.711419
-3.0,3,0.713089
-3.0,3,0.714605
-3.0,3,0.716246
-3.0,3,0.7177
-3.0,3,0.71919
-3.0,3,0.720632
-3.0,3,0.722279
-3.0,3,0.723971
-3.0,3,0.725668
-3.0,3,0.727303
-3.0,3,0.728925
-3.0,3,0.730552
-3.0,3,0.732164
-3.0,3,0.733757
-3.0,3,0.735418
-3.0,3,0.737042
-3.0,3,0.738544
-3.0,3,0.740042
-3.0,3,0.741547
-3.0,3,0.742995
-3.0,3,0.744539
-3.0,3,0.746068
-3.0,3,0.747576
-3.0,3,0.749079
-3.0,3,0.750581
-3.0,3,0.752082
-3.0,3,0.753671
-3.0,3,0.755239
-3.0,3,0.756748
-3.0,3,0.758249
-3.0,3,0.759746
-3.0,3,0.761298
-3.0,3,0.762815
-3.0,3,0.764264
-3.0,3,0.765838
-3.0,3,0.767309
-3.0,3,0.768885
-3.0,3,0.770391
-3.0,3,0.771901
-3.0,3,0.773414
-3.0,3,0.774924
-3.0,3,0.776439
-3.0,3,0.777944
-3.0,3,0.779469
-3.0,3,0.781007
-3.0,3,0.782524
-3.0,3,0.783999
-3.0,3,0.78551
-3.0,3,0.78701
-3.0,3,0.788502
-3.0,3,0.790008
-3.0,3,0.791503
-3.0,3,0.793005
-3.0,3,0.794506
-3.0,3,0.795984
-3.0,3,0.797478
-3.0,3,0.798975
-3.0,3,0.800491
-3.0,3,0.801989
-3.0,3,0.803533
-3.0,3,0.805038
-3.0,3,0.806517
-3.0,3,0.807992
-3.0,3,0.809479
-3.0,3,0.810979
-3.0,3,0.812478
-3.0,3,0.813968
-3.0,3,0.815461
-3.0,3,0.817144
-3.0,3,0.818978
-3.0,3,0.820731
-3.0,3,0.822662
-3.0,3,0.824502
-3.0,3,0.82637
-3.0,3,0.82822
-3.0,3,0.829983
-3.0,3,0.831892
-3.0,3,0.833774
-3.0,3,0.835589
-3.0,3,0.837425
-3.0,3,0.839282
-3.0,3,0.84118
-3.0,3,0.843071
-3.0,3,0.844946
-3.0,3,0.84676
-3.0,3,0.848527
-3.0,3,0.850269
-3.0,3,0.851915
