# {"t_start": 1545325640.390201, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.597251
-3.0,3,0.599301
-3.0,3,0.601122
-3.0,3,0.60304
-3.0,3,0.604944
-3.0,3,0.606748
-3.0,3,0.608431
-3.0,3,0.610158
-3.0,3,0.611887
-3.0,3,0.613717
-3.0,3,0.615324
-3.0,3,0.617069
-3.0,3,0.618765
-3.0,3,0.620477
-3.0,3,0.622115
-3.0,3,0.623734
-3.0,3,0.625322
-3.0,3,0.626902
-3.0,3,0.628507
-3.0,3,0.630187
-3.0,3,0.631948
-3.0,3,0.6336
-3.0,3,0.635334
-3.0,3,0.636936
-3.0,3,0.638549
-3.0,3,0.640239
-3.0,3,0.641901
-3.0,3,0.643561
-3.0,3,0.645217
-3.0,3,0.6468
-3.0,3,0.648437
-3.0,3,0.650145
-3.0,3,0.65198
-3.0,3,0.653827
-3.0,3,0.655633
-3.0,3,0.657335
-3.0,3,0.659006
-3.0,3,0.660701
-3.0,3,0.662522
-3.0,3,0.66435
-3.0,3,0.666172
-3.0,3,0.667924
-3.0,3,0.669636
-3.0,3,0.671325
-3.0,3,0.672971
-3.0,3,0.674562
-3.0,3,0.676213
-3.0,3,0.677824
-3.0,3,0.679503
-3.0,3,0.681075
-3.0,3,0.682703
-3.0,3,0.684273
-3.0,3,0.685843
-3.0,3,0.68737
-3.0,3,0.689007
-3.0,3,0.690805
-3.0,3,0.69259
-3.0,3,0.694253
-3.0,3,0.695854
-3.0,3,0.69739
-3.0,3,0.698981
-3.0,3,0.700582
-3.0,3,0.702059
-3.0,3,0.703553
-3.0,3,0.705058
-3.0,3,0.706763
-3.0,3,0.708334
-3.0,3,0.709915
-3.0,3,0.711596
-3.0,3,0.713186
-3.0,3,0.714793
-3.0,3,0.717194
-3.0,3,0.719003
-3.0,3,0.720918
-3.0,3,0.722759
-3.0,3,0.724647
-3.0,3,0.726501
-3.0,3,0.728452
-3.0,3,0.730302
-3.0,3,0.732209
-3.0,3,0.733981
-3.0,3,0.735749
-3.0,3,0.73763
-3.0,3,0.739388
-3.0,3,0.741401
-3.0,3,0.743213
-3.0,3,0.745053
-3.0,3,0.74694
-3.0,3,0.748688
-3.0,3,0.750535
-3.0,3,0.752469
-3.0,3,0.754236
-3.0,3,0.756039
-3.0,3,0.757836
-3.0,3,0.759672
-3.0,3,0.761441
-3.0,3,0.763215
-3.0,3,0.764959
-3.0,3,0.766721
