# {"t_start": 1545329171.7964487, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.607891
-3.0,3,0.610273
-3.0,3,0.612179
-3.0,3,0.613782
-3.0,3,0.615263
-3.0,3,0.616791
-3.0,3,0.618417
-3.0,3,0.619958
-3.0,3,0.621488
-3.0,3,0.622953
-3.0,3,0.624481
-3.0,3,0.626002
-3.0,3,0.627567
-3.0,3,0.629135
-3.0,3,0.630688
-3.0,3,0.632244
-3.0,3,0.633805
-3.0,3,0.635367
-3.0,3,0.636932
-3.0,3,0.63851
-3.0,3,0.640073
-3.0,3,0.641641
-3.0,3,0.643195
-3.0,3,0.64475
-3.0,3,0.646307
-3.0,3,0.647855
-3.0,3,0.64948
-3.0,3,0.651225
-3.0,3,0.652842
-3.0,3,0.654661
-3.0,3,0.656826
-3.0,3,0.65904
-3.0,3,0.660794
-3.0,3,0.662483
-3.0,3,0.664726
-3.0,3,0.66731
-3.0,3,0.668913
-3.0,3,0.670793
-3.0,3,0.672634
-3.0,3,0.674433
-3.0,3,0.676142
-3.0,3,0.677822
-3.0,3,0.679493
-3.0,3,0.681783
-3.0,3,0.684096
-3.0,3,0.685924
-3.0,3,0.687591
-3.0,3,0.689205
-3.0,3,0.690734
-3.0,3,0.692195
-3.0,3,0.693646
-3.0,3,0.695101
-3.0,3,0.696554
-3.0,3,0.698307
-3.0,3,0.700155
-3.0,3,0.702315
-3.0,3,0.704136
-3.0,3,0.705792
-3.0,3,0.707442
-3.0,3,0.709034
-3.0,3,0.710713
-3.0,3,0.712332
-3.0,3,0.714048
-3.0,3,0.715759
-3.0,3,0.717614
-3.0,3,0.719654
-3.0,3,0.7221
-3.0,3,0.723672
-3.0,3,0.725528
-3.0,3,0.727368
-3.0,3,0.729129
-3.0,3,0.731054
-3.0,3,0.732626
-3.0,3,0.734452
-3.0,3,0.73631
-3.0,3,0.73799
-3.0,3,0.739597
-3.0,3,0.741075
-3.0,3,0.742612
-3.0,3,0.7441
-3.0,3,0.745572
-3.0,3,0.747051
-3.0,3,0.748763
-3.0,3,0.750243
-3.0,3,0.751718
-3.0,3,0.753232
-3.0,3,0.754718
-3.0,3,0.75614
-3.0,3,0.757607
-3.0,3,0.75905
-3.0,3,0.760611
-3.0,3,0.762218
-3.0,3,0.764039
-3.0,3,0.765732
-3.0,3,0.767142
-3.0,3,0.768559
-3.0,3,0.769971
-3.0,3,0.771378
-3.0,3,0.772812
-3.0,3,0.774231
-3.0,3,0.775645
-3.0,3,0.777059
-3.0,3,0.778469
-3.0,3,0.779878
-3.0,3,0.781293
-3.0,3,0.782749
-3.0,3,0.78417
-3.0,3,0.785585
-3.0,3,0.786989
-3.0,3,0.788405
-3.0,3,0.790223
-3.0,3,0.792377
-3.0,3,0.794497
-3.0,3,0.79616
-3.0,3,0.798312
-3.0,3,0.799931
-3.0,3,0.802205
-3.0,3,0.803901
-3.0,3,0.805582
-3.0,3,0.807196
-3.0,3,0.808737
-3.0,3,0.810501
-3.0,3,0.812252
-3.0,3,0.813864
-3.0,3,0.815623
-3.0,3,0.817348
-3.0,3,0.819004
-3.0,3,0.82073
-3.0,3,0.822452
-3.0,3,0.824172
-3.0,3,0.825834
-3.0,3,0.827489
-3.0,3,0.829162
-3.0,3,0.830854
-3.0,3,0.832714
-3.0,3,0.834518
-3.0,3,0.836364
-3.0,3,0.838192
-3.0,3,0.840013
-3.0,3,0.841824
-3.0,3,0.843642
-3.0,3,0.845393
-3.0,3,0.847157
-3.0,3,0.84892
-3.0,3,0.850709
-3.0,3,0.852518
-3.0,3,0.854256
-3.0,3,0.855974
-3.0,3,0.857797
-3.0,3,0.859494
-3.0,3,0.861132
-3.0,3,0.862645
-3.0,3,0.864433
-3.0,3,0.866101
-3.0,3,0.867866
-3.0,3,0.869566
-3.0,3,0.871307
-3.0,3,0.87286
-3.0,3,0.874578
-3.0,3,0.87624
-3.0,3,0.877863
-3.0,3,0.879561
-3.0,3,0.88114
-3.0,3,0.882757
-3.0,3,0.884473
-3.0,3,0.886018
-3.0,3,0.887591
-3.0,3,0.889198
-3.0,3,0.890798
-3.0,3,0.892395
-3.0,3,0.894031
-3.0,3,0.895675
-3.0,3,0.897355
-3.0,3,0.898979
-3.0,3,0.900625
-3.0,3,0.902308
-3.0,3,0.903891
-3.0,3,0.905562
-3.0,3,0.907193
-3.0,3,0.908801
-3.0,3,0.910466
-3.0,3,0.912058
-3.0,3,0.913722
-3.0,3,0.915315
-3.0,3,0.916916
-3.0,3,0.918391
-3.0,3,0.919874
-3.0,3,0.921349
-3.0,3,0.922832
-3.0,3,0.924493
-3.0,3,0.926076
-3.0,3,0.927677
-3.0,3,0.929298
-3.0,3,0.930792
-3.0,3,0.932451
-3.0,3,0.934183
-3.0,3,0.935904
-3.0,3,0.937584
-3.0,3,0.939287
-3.0,3,0.94096
-3.0,3,0.942524
-3.0,3,0.94406
-3.0,3,0.945599
-3.0,3,0.947126
-3.0,3,0.948684
-3.0,3,0.950228
-3.0,3,0.95177
-3.0,3,0.953329
-3.0,3,0.95487
-3.0,3,0.956416
-3.0,3,0.957965
-3.0,3,0.959517
-3.0,3,0.961083
-3.0,3,0.962632
-3.0,3,0.964192
-3.0,3,0.965789
-3.0,3,0.967333
-3.0,3,0.968814
-3.0,3,0.970398
-3.0,3,0.971945
-3.0,3,0.973543
-3.0,3,0.975131
-3.0,3,0.976684
-3.0,3,0.978281
-3.0,3,0.979857
-3.0,3,0.981422
-3.0,3,0.983004
-3.0,3,0.984507
-3.0,3,0.986024
-3.0,3,0.987617
-3.0,3,0.989206
-3.0,3,0.99074
-3.0,3,0.992495
-3.0,3,0.994012
-3.0,3,0.99559
-3.0,3,0.997432
-3.0,3,0.999297
-3.0,3,1.001623
-3.0,3,1.003443
-3.0,3,1.005374
-3.0,3,1.006934
-3.0,3,1.008367
-3.0,3,1.009919
-3.0,3,1.011367
-3.0,3,1.0128
-3.0,3,1.014707
-3.0,3,1.016815
-3.0,3,1.018333
-3.0,3,1.020139
-3.0,3,1.021823
-3.0,3,1.02346
-3.0,3,1.025051
-3.0,3,1.026683
-3.0,3,1.02832
-3.0,3,1.029948
-3.0,3,1.031745
-3.0,3,1.033416
-3.0,3,1.035218
-3.0,3,1.037066
-3.0,3,1.038807
-3.0,3,1.040554
-3.0,3,1.042275
-3.0,3,1.044058
-3.0,3,1.045828
-3.0,3,1.047546
-3.0,3,1.049242
-3.0,3,1.050694
-3.0,3,1.052424
-3.0,3,1.054148
-3.0,3,1.0557
-3.0,3,1.057498
-3.0,3,1.059234
-3.0,3,1.060876
-3.0,3,1.062636
