# {"t_start": 1545323895.7815328, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.714451
-3.0,3,0.71632
-3.0,3,0.718174
-3.0,3,0.720084
-3.0,3,0.721843
-3.0,3,0.723567
-3.0,3,0.725277
-3.0,3,0.72711
-3.0,3,0.729241
-3.0,3,0.730898
-3.0,3,0.732664
-3.0,3,0.734351
-3.0,3,0.735993
-3.0,3,0.737628
-3.0,3,0.739316
-3.0,3,0.740985
-3.0,3,0.742704
-3.0,3,0.744249
-3.0,3,0.745781
-3.0,3,0.74727
-3.0,3,0.748779
-3.0,3,0.750271
-3.0,3,0.751987
-3.0,3,0.753508
-3.0,3,0.755031
-3.0,3,0.756591
-3.0,3,0.758327
-3.0,3,0.759958
-3.0,3,0.761683
-3.0,3,0.763361
-3.0,3,0.765055
-3.0,3,0.766714
-3.0,3,0.768353
-3.0,3,0.769984
-3.0,3,0.771642
-3.0,3,0.77338
-3.0,3,0.775147
-3.0,3,0.776903
-3.0,3,0.778652
-3.0,3,0.7804
-3.0,3,0.782136
-3.0,3,0.783861
-3.0,3,0.785633
-3.0,3,0.787341
-3.0,3,0.788874
-3.0,3,0.790381
-3.0,3,0.79189
-3.0,3,0.793483
-3.0,3,0.795038
-3.0,3,0.796555
-3.0,3,0.79806
-3.0,3,0.799569
-3.0,3,0.80109
-3.0,3,0.802591
-3.0,3,0.804103
-3.0,3,0.805624
-3.0,3,0.807134
-3.0,3,0.808647
-3.0,3,0.810196
-3.0,3,0.811699
-3.0,3,0.813249
-3.0,3,0.814747
-3.0,3,0.816256
-3.0,3,0.817796
-3.0,3,0.819292
-3.0,3,0.820868
-3.0,3,0.822496
-3.0,3,0.824135
-3.0,3,0.825846
-3.0,3,0.827615
-3.0,3,0.830163
-3.0,3,0.834281
-3.0,3,0.836072
-3.0,3,0.838069
-3.0,3,0.839929
-3.0,3,0.841702
-3.0,3,0.843497
-3.0,3,0.845321
-3.0,3,0.847348
-3.0,3,0.849432
-3.0,3,0.851389
-3.0,3,0.853302
-3.0,3,0.855191
-3.0,3,0.857146
-3.0,3,0.859001
-3.0,3,0.860939
-3.0,3,0.86281
-3.0,3,0.864729
-3.0,3,0.866617
-3.0,3,0.868504
-3.0,3,0.870283
-3.0,3,0.872119
-3.0,3,0.873978
-3.0,3,0.875933
-3.0,3,0.877835
-3.0,3,0.87978
-3.0,3,0.881666
-3.0,3,0.88367
-3.0,3,0.885552
-3.0,3,0.887347
-3.0,3,0.889236
-3.0,3,0.891069
-3.0,3,0.892952
-3.0,3,0.894814
-3.0,3,0.897154
-3.0,3,0.899201
-3.0,3,0.901056
-3.0,3,0.902953
-3.0,3,0.904863
-3.0,3,0.906699
-3.0,3,0.908618
-3.0,3,0.910614
-3.0,3,0.912609
-3.0,3,0.914543
-3.0,3,0.916424
-3.0,3,0.918342
-3.0,3,0.920191
-3.0,3,0.921993
-3.0,3,0.924063
-3.0,3,0.926282
-3.0,3,0.92808
-3.0,3,0.929822
-3.0,3,0.931523
-3.0,3,0.933169
-3.0,3,0.934839
-3.0,3,0.936595
-3.0,3,0.938239
-3.0,3,0.939847
-3.0,3,0.941534
-3.0,3,0.943313
-3.0,3,0.945465
