# {"t_start": 1545331552.1441925, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.594361
-3.0,3,0.596323
-3.0,3,0.598081
-3.0,3,0.599885
-3.0,3,0.601737
-3.0,3,0.603504
-3.0,3,0.605403
-3.0,3,0.60723
-3.0,3,0.60924
-3.0,3,0.610927
-3.0,3,0.612712
-3.0,3,0.614666
-3.0,3,0.616547
-3.0,3,0.618447
-3.0,3,0.620433
-3.0,3,0.622347
-3.0,3,0.624223
-3.0,3,0.626018
-3.0,3,0.627885
-3.0,3,0.629693
-3.0,3,0.631355
-3.0,3,0.633133
-3.0,3,0.634964
-3.0,3,0.636835
-3.0,3,0.638608
-3.0,3,0.640279
-3.0,3,0.642123
-3.0,3,0.643972
-3.0,3,0.645851
-3.0,3,0.647778
-3.0,3,0.64961
-3.0,3,0.651548
-3.0,3,0.653328
-3.0,3,0.655258
-3.0,3,0.657201
-3.0,3,0.659085
-3.0,3,0.661097
-3.0,3,0.662916
-3.0,3,0.66485
-3.0,3,0.666676
-3.0,3,0.668545
-3.0,3,0.670545
-3.0,3,0.672395
-3.0,3,0.67441
-3.0,3,0.676259
-3.0,3,0.678138
-3.0,3,0.680132
-3.0,3,0.682043
-3.0,3,0.683949
-3.0,3,0.685752
-3.0,3,0.687428
-3.0,3,0.689093
-3.0,3,0.690811
-3.0,3,0.692597
-3.0,3,0.694277
-3.0,3,0.696187
-3.0,3,0.698159
-3.0,3,0.700143
-3.0,3,0.702142
-3.0,3,0.70409
-3.0,3,0.70593
-3.0,3,0.707659
-3.0,3,0.709479
-3.0,3,0.711444
-3.0,3,0.713215
-3.0,3,0.715263
-3.0,3,0.717043
-3.0,3,0.719064
-3.0,3,0.721048
-3.0,3,0.723058
-3.0,3,0.724891
-3.0,3,0.726772
-3.0,3,0.728584
-3.0,3,0.730542
-3.0,3,0.732335
-3.0,3,0.734286
-3.0,3,0.736197
-3.0,3,0.737906
-3.0,3,0.73966
-3.0,3,0.74125
-3.0,3,0.742938
-3.0,3,0.744459
-3.0,3,0.746091
-3.0,3,0.747674
-3.0,3,0.749268
-3.0,3,0.750842
-3.0,3,0.752339
-3.0,3,0.754005
-3.0,3,0.755442
-3.0,3,0.756988
-3.0,3,0.758657
-3.0,3,0.760226
-3.0,3,0.761942
-3.0,3,0.763475
-3.0,3,0.765149
-3.0,3,0.766686
-3.0,3,0.768149
-3.0,3,0.769881
-3.0,3,0.771422
-3.0,3,0.773105
-3.0,3,0.774775
-3.0,3,0.776317
-3.0,3,0.778047
-3.0,3,0.779593
-3.0,3,0.781277
-3.0,3,0.782916
-3.0,3,0.784399
-3.0,3,0.785988
-3.0,3,0.787412
-3.0,3,0.788892
-3.0,3,0.790615
-3.0,3,0.792199
-3.0,3,0.793789
-3.0,3,0.795311
-3.0,3,0.796991
-3.0,3,0.7986
-3.0,3,0.800292
-3.0,3,0.802035
-3.0,3,0.803751
-3.0,3,0.805373
-3.0,3,0.807075
-3.0,3,0.808896
-3.0,3,0.81075
-3.0,3,0.812403
-3.0,3,0.814061
-3.0,3,0.815726
-3.0,3,0.817491
-3.0,3,0.818993
-3.0,3,0.820735
-3.0,3,0.822355
-3.0,3,0.823787
-3.0,3,0.825202
-3.0,3,0.826618
-3.0,3,0.828027
-3.0,3,0.829438
-3.0,3,0.830855
-3.0,3,0.832261
-3.0,3,0.833678
