# {"t_start": 1545290679.3045406, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.618105
-3.0,3,0.620023
-3.0,3,0.62185
-3.0,3,0.623631
-3.0,3,0.625667
-3.0,3,0.62782
-3.0,3,0.629564
-3.0,3,0.63117
-3.0,3,0.632778
-3.0,3,0.634355
-3.0,3,0.636079
-3.0,3,0.637692
-3.0,3,0.639564
-3.0,3,0.641361
-3.0,3,0.643061
-3.0,3,0.644867
-3.0,3,0.646479
-3.0,3,0.648283
-3.0,3,0.650006
-3.0,3,0.651709
-3.0,3,0.653388
-3.0,3,0.655214
-3.0,3,0.656899
-3.0,3,0.658546
-3.0,3,0.660228
-3.0,3,0.661846
-3.0,3,0.663476
-3.0,3,0.665285
-3.0,3,0.666856
-3.0,3,0.668485
-3.0,3,0.670094
-3.0,3,0.671812
-3.0,3,0.673663
-3.0,3,0.675393
-3.0,3,0.677236
-3.0,3,0.679076
-3.0,3,0.680907
-3.0,3,0.68268
-3.0,3,0.684251
-3.0,3,0.686053
-3.0,3,0.688168
-3.0,3,0.690011
-3.0,3,0.691688
-3.0,3,0.693427
-3.0,3,0.696177
-3.0,3,0.707904
-3.0,3,0.714996
-3.0,3,0.725033
-3.0,3,0.729471
-3.0,3,0.7311
-3.0,3,0.732734
-3.0,3,0.735004
-3.0,3,0.740405
-3.0,3,0.743493
-3.0,3,0.746896
-3.0,3,0.752546
-3.0,3,0.756075
-3.0,3,0.760084
-3.0,3,0.765188
-3.0,3,0.767375
-3.0,3,0.76923
-3.0,3,0.770945
-3.0,3,0.772795
-3.0,3,0.77532
-3.0,3,0.777469
-3.0,3,0.779241
-3.0,3,0.784133
-3.0,3,0.785791
-3.0,3,0.788032
-3.0,3,0.790273
-3.0,3,0.792864
-3.0,3,0.796589
-3.0,3,0.79944
-3.0,3,0.802528
-3.0,3,0.805696
-3.0,3,0.808361
-3.0,3,0.810605
-3.0,3,0.812307
-3.0,3,0.813928
-3.0,3,0.815525
-3.0,3,0.817099
-3.0,3,0.81859
-3.0,3,0.820244
-3.0,3,0.821751
-3.0,3,0.823465
-3.0,3,0.825309
-3.0,3,0.827462
-3.0,3,0.829421
-3.0,3,0.831383
-3.0,3,0.833435
-3.0,3,0.835228
-3.0,3,0.837236
-3.0,3,0.839294
-3.0,3,0.841387
-3.0,3,0.843216
-3.0,3,0.845071
-3.0,3,0.846876
-3.0,3,0.849087
-3.0,3,0.851165
-3.0,3,0.853115
-3.0,3,0.855111
-3.0,3,0.857517
-3.0,3,0.860443
-3.0,3,0.863071
-3.0,3,0.865318
-3.0,3,0.867578
-3.0,3,0.869637
-3.0,3,0.871617
-3.0,3,0.873688
-3.0,3,0.875731
-3.0,3,0.877758
-3.0,3,0.879704
-3.0,3,0.881667
-3.0,3,0.883682
-3.0,3,0.885594
-3.0,3,0.887313
-3.0,3,0.888783
-3.0,3,0.890291
-3.0,3,0.891743
-3.0,3,0.893222
-3.0,3,0.894694
-3.0,3,0.896144
-3.0,3,0.897581
-3.0,3,0.899022
-3.0,3,0.900464
-3.0,3,0.901904
-3.0,3,0.903355
-3.0,3,0.904804
-3.0,3,0.906291
-3.0,3,0.907742
-3.0,3,0.909246
-3.0,3,0.910746
-3.0,3,0.912256
-3.0,3,0.913793
-3.0,3,0.91539
-3.0,3,0.916904
-3.0,3,0.918344
-3.0,3,0.919774
-3.0,3,0.921188
-3.0,3,0.922625
-3.0,3,0.924058
-3.0,3,0.925494
-3.0,3,0.92691
-3.0,3,0.928813
-3.0,3,0.930467
-3.0,3,0.932038
-3.0,3,0.933617
-3.0,3,0.935306
-3.0,3,0.93698
-3.0,3,0.93872
-3.0,3,0.9404
-3.0,3,0.942066
-3.0,3,0.943935
-3.0,3,0.945613
-3.0,3,0.947292
-3.0,3,0.948932
-3.0,3,0.950612
-3.0,3,0.952177
-3.0,3,0.953797
-3.0,3,0.955431
-3.0,3,0.95712
-3.0,3,0.958778
-3.0,3,0.960533
-3.0,3,0.962231
-3.0,3,0.963991
-3.0,3,0.965758
-3.0,3,0.967424
-3.0,3,0.969213
-3.0,3,0.97099
-3.0,3,0.972717
-3.0,3,0.974483
-3.0,3,0.976248
-3.0,3,0.978003
-3.0,3,0.979749
-3.0,3,0.981499
-3.0,3,0.98321
-3.0,3,0.984862
-3.0,3,0.986634
-3.0,3,0.988346
-3.0,3,0.990074
-3.0,3,0.991925
-3.0,3,0.993666
-3.0,3,0.995376
-3.0,3,0.997098
-3.0,3,0.998797
-3.0,3,1.000517
-3.0,3,1.002346
-3.0,3,1.004023
-3.0,3,1.005791
-3.0,3,1.007597
-3.0,3,1.009319
-3.0,3,1.010992
-3.0,3,1.012718
-3.0,3,1.014473
-3.0,3,1.016235
-3.0,3,1.01805
-3.0,3,1.01993
-3.0,3,1.021692
-3.0,3,1.023404
-3.0,3,1.025113
-3.0,3,1.026713
-3.0,3,1.028232
-3.0,3,1.029772
-3.0,3,1.031278
-3.0,3,1.032802
-3.0,3,1.034417
-3.0,3,1.03595
-3.0,3,1.037449
-3.0,3,1.038975
-3.0,3,1.040492
-3.0,3,1.042009
-3.0,3,1.043522
-3.0,3,1.045121
-3.0,3,1.046661
-3.0,3,1.048227
-3.0,3,1.049822
-3.0,3,1.051387
-3.0,3,1.053017
-3.0,3,1.054587
-3.0,3,1.056143
-3.0,3,1.057872
-3.0,3,1.059442
-3.0,3,1.061107
-3.0,3,1.062741
-3.0,3,1.064282
-3.0,3,1.065912
-3.0,3,1.067643
-3.0,3,1.069255
-3.0,3,1.07082
-3.0,3,1.072486
-3.0,3,1.074155
-3.0,3,1.075797
-3.0,3,1.077477
-3.0,3,1.07945
-3.0,3,1.081256
-3.0,3,1.083036
-3.0,3,1.084678
-3.0,3,1.08656
-3.0,3,1.088238
-3.0,3,1.089833
-3.0,3,1.091556
-3.0,3,1.093324
-3.0,3,1.095029
-3.0,3,1.096743
-3.0,3,1.098327
-3.0,3,1.099911
-3.0,3,1.101642
-3.0,3,1.103273
-3.0,3,1.104885
-3.0,3,1.106728
-3.0,3,1.108452
-3.0,3,1.110047
-3.0,3,1.111771
-3.0,3,1.113445
-3.0,3,1.115408
-3.0,3,1.117276
-3.0,3,1.119056
-3.0,3,1.120894
-3.0,3,1.122736
-3.0,3,1.124327
-3.0,3,1.125989
-3.0,3,1.127518
-3.0,3,1.129251
-3.0,3,1.130964
-3.0,3,1.132553
-3.0,3,1.134169
-3.0,3,1.135761
-3.0,3,1.137349
-3.0,3,1.139067
-3.0,3,1.140667
-3.0,3,1.14227
-3.0,3,1.143889
-3.0,3,1.145561
-3.0,3,1.147335
-3.0,3,1.148866
-3.0,3,1.150382
-3.0,3,1.152059
-3.0,3,1.153741
-3.0,3,1.155417
-3.0,3,1.157037
-3.0,3,1.158683
-3.0,3,1.160425
-3.0,3,1.162194
-3.0,3,1.163927
-3.0,3,1.165729
-3.0,3,1.167584
-3.0,3,1.169232
-3.0,3,1.170797
-3.0,3,1.172722
-3.0,3,1.174521
-3.0,3,1.17636
-3.0,3,1.177976
-3.0,3,1.179556
-3.0,3,1.181155
-3.0,3,1.18274
-3.0,3,1.184387
-3.0,3,1.185973
-3.0,3,1.187494
-3.0,3,1.189288
-3.0,3,1.190982
-3.0,3,1.192607
-3.0,3,1.194467
-3.0,3,1.196436
-3.0,3,1.198223
-3.0,3,1.199997
-3.0,3,1.201769
-3.0,3,1.20369
-3.0,3,1.205678
-3.0,3,1.207386
-3.0,3,1.209225
-3.0,3,1.210983
-3.0,3,1.212603
-3.0,3,1.214138
-3.0,3,1.215886
-3.0,3,1.217661
-3.0,3,1.219344
-3.0,3,1.221168
-3.0,3,1.223049
-3.0,3,1.224839
-3.0,3,1.226506
-3.0,3,1.228141
-3.0,3,1.229902
-3.0,3,1.231573
-3.0,3,1.233226
-3.0,3,1.235147
-3.0,3,1.237371
-3.0,3,1.239189
-3.0,3,1.241032
-3.0,3,1.242814
-3.0,3,1.244592
-3.0,3,1.24638
-3.0,3,1.248118
-3.0,3,1.250038
-3.0,3,1.251804
-3.0,3,1.253588
-3.0,3,1.255462
-3.0,3,1.257292
-3.0,3,1.258986
-3.0,3,1.260825
-3.0,3,1.262542
-3.0,3,1.264157
-3.0,3,1.265793
-3.0,3,1.267384
-3.0,3,1.269082
-3.0,3,1.270709
-3.0,3,1.272256
-3.0,3,1.274023
-3.0,3,1.27571
-3.0,3,1.277353
-3.0,3,1.278928
-3.0,3,1.280496
-3.0,3,1.282079
-3.0,3,1.283658
-3.0,3,1.285242
-3.0,3,1.286809
-3.0,3,1.288393
-3.0,3,1.290149
-3.0,3,1.294102
-3.0,3,1.298531
-3.0,3,1.3002
-3.0,3,1.301684
-3.0,3,1.303124
-3.0,3,1.30455
-3.0,3,1.305974
-3.0,3,1.307451
-3.0,3,1.310174
-3.0,3,1.313862
-3.0,3,1.316669
-3.0,3,1.318434
-3.0,3,1.320132
-3.0,3,1.321838
-3.0,3,1.323537
-3.0,3,1.325799
-3.0,3,1.329583
-3.0,3,1.331816
-3.0,3,1.333718
-3.0,3,1.335597
-3.0,3,1.33744
-3.0,3,1.339356
-3.0,3,1.341101
-3.0,3,1.343182
-3.0,3,1.345119
-3.0,3,1.346735
-3.0,3,1.348267
-3.0,3,1.349964
-3.0,3,1.351602
-3.0,3,1.353393
-3.0,3,1.355134
-3.0,3,1.356784
-3.0,3,1.358294
-3.0,3,1.359747
-3.0,3,1.361191
-3.0,3,1.362605
-3.0,3,1.364131
-3.0,3,1.365671
-3.0,3,1.36711
-3.0,3,1.36861
-3.0,3,1.370059
-3.0,3,1.371488
-3.0,3,1.372995
-3.0,3,1.374445
-3.0,3,1.375874
-3.0,3,1.377412
-3.0,3,1.378951
-3.0,3,1.380469
-3.0,3,1.381963
-3.0,3,1.383503
-3.0,3,1.385047
-3.0,3,1.386609
-3.0,3,1.388137
-3.0,3,1.389684
-3.0,3,1.391121
-3.0,3,1.392929
-3.0,3,1.394528
-3.0,3,1.396267
-3.0,3,1.397882
-3.0,3,1.399374
-3.0,3,1.40094
-3.0,3,1.402692
-3.0,3,1.404454
-3.0,3,1.406156
-3.0,3,1.407699
-3.0,3,1.409253
-3.0,3,1.4108
-3.0,3,1.414783
-3.0,3,1.416501
-3.0,3,1.418111
-3.0,3,1.419712
-3.0,3,1.421627
-3.0,3,1.423445
-3.0,3,1.425113
-3.0,3,1.42743
-3.0,3,1.429245
