# {"t_start": 1545330445.6574214, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.60384
-3.0,3,0.605997
-3.0,3,0.607856
-3.0,3,0.609739
-3.0,3,0.611483
-3.0,3,0.612968
-3.0,3,0.61455
-3.0,3,0.616358
-3.0,3,0.617979
-3.0,3,0.619711
-3.0,3,0.621542
-3.0,3,0.623167
-3.0,3,0.624683
-3.0,3,0.62619
-3.0,3,0.627721
-3.0,3,0.629254
-3.0,3,0.630751
-3.0,3,0.632257
-3.0,3,0.633742
-3.0,3,0.635239
-3.0,3,0.63674
-3.0,3,0.638251
-3.0,3,0.63974
-3.0,3,0.641306
-3.0,3,0.642868
-3.0,3,0.64449
-3.0,3,0.646096
-3.0,3,0.647912
-3.0,3,0.650204
-3.0,3,0.653733
-3.0,3,0.656559
-3.0,3,0.660048
-3.0,3,0.666829
-3.0,3,0.670232
-3.0,3,0.673094
-3.0,3,0.680438
-3.0,3,0.683534
-3.0,3,0.685095
-3.0,3,0.686595
-3.0,3,0.688054
-3.0,3,0.689832
-3.0,3,0.691409
-3.0,3,0.693433
-3.0,3,0.695408
-3.0,3,0.697241
-3.0,3,0.699094
-3.0,3,0.706657
-3.0,3,0.708788
-3.0,3,0.710799
-3.0,3,0.712474
-3.0,3,0.714222
-3.0,3,0.715885
-3.0,3,0.717675
-3.0,3,0.719281
-3.0,3,0.720896
-3.0,3,0.722603
-3.0,3,0.724215
-3.0,3,0.725832
-3.0,3,0.727385
-3.0,3,0.729089
-3.0,3,0.730913
-3.0,3,0.732653
-3.0,3,0.734272
-3.0,3,0.735973
-3.0,3,0.737861
-3.0,3,0.739449
-3.0,3,0.741148
-3.0,3,0.74278
-3.0,3,0.744529
-3.0,3,0.746277
-3.0,3,0.747856
-3.0,3,0.74943
-3.0,3,0.751036
-3.0,3,0.752925
-3.0,3,0.754639
-3.0,3,0.75632
-3.0,3,0.757926
-3.0,3,0.759489
-3.0,3,0.761068
-3.0,3,0.762734
-3.0,3,0.764339
-3.0,3,0.766105
-3.0,3,0.767758
-3.0,3,0.769466
-3.0,3,0.771151
-3.0,3,0.772784
-3.0,3,0.7744
-3.0,3,0.77601
-3.0,3,0.777755
-3.0,3,0.779438
-3.0,3,0.780988
-3.0,3,0.782732
-3.0,3,0.784404
-3.0,3,0.786111
-3.0,3,0.787997
-3.0,3,0.789705
-3.0,3,0.791395
-3.0,3,0.793104
-3.0,3,0.794653
-3.0,3,0.796238
-3.0,3,0.79779
-3.0,3,0.799356
-3.0,3,0.800897
-3.0,3,0.802454
-3.0,3,0.803966
-3.0,3,0.805529
-3.0,3,0.807208
-3.0,3,0.808774
-3.0,3,0.810315
-3.0,3,0.811855
-3.0,3,0.813403
-3.0,3,0.814933
-3.0,3,0.816529
-3.0,3,0.818091
-3.0,3,0.819626
-3.0,3,0.821164
-3.0,3,0.822705
-3.0,3,0.824244
-3.0,3,0.825796
-3.0,3,0.827434
-3.0,3,0.82909
-3.0,3,0.830662
-3.0,3,0.832212
-3.0,3,0.833748
-3.0,3,0.835295
-3.0,3,0.836871
-3.0,3,0.838473
-3.0,3,0.840074
-3.0,3,0.841868
-3.0,3,0.843791
-3.0,3,0.845523
-3.0,3,0.847162
-3.0,3,0.848937
-3.0,3,0.850642
-3.0,3,0.852442
-3.0,3,0.85417
-3.0,3,0.855868
-3.0,3,0.857487
-3.0,3,0.859134
-3.0,3,0.860932
-3.0,3,0.862708
-3.0,3,0.864403
-3.0,3,0.866365
-3.0,3,0.872059
-3.0,3,0.873831
-3.0,3,0.8754
-3.0,3,0.876971
-3.0,3,0.878479
-3.0,3,0.879946
-3.0,3,0.8814
-3.0,3,0.882845
-3.0,3,0.88433
-3.0,3,0.885832
-3.0,3,0.887359
-3.0,3,0.888916
-3.0,3,0.89044
-3.0,3,0.891891
-3.0,3,0.893379
-3.0,3,0.894853
-3.0,3,0.896319
-3.0,3,0.897781
-3.0,3,0.899251
-3.0,3,0.900737
-3.0,3,0.902304
-3.0,3,0.903831
-3.0,3,0.905441
-3.0,3,0.907113
-3.0,3,0.908908
-3.0,3,0.910679
-3.0,3,0.912449
-3.0,3,0.914306
-3.0,3,0.916158
-3.0,3,0.917922
-3.0,3,0.919695
-3.0,3,0.921555
-3.0,3,0.923386
-3.0,3,0.925325
-3.0,3,0.927164
-3.0,3,0.928788
-3.0,3,0.930715
-3.0,3,0.9325
-3.0,3,0.93416
-3.0,3,0.935756
-3.0,3,0.937363
-3.0,3,0.939022
-3.0,3,0.940751
-3.0,3,0.942514
-3.0,3,0.944267
-3.0,3,0.946089
-3.0,3,0.94811
-3.0,3,0.949721
