# {"t_start": 1545325501.8354173, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.668345
-3.0,3,0.670703
-3.0,3,0.672685
-3.0,3,0.675322
-3.0,3,0.677682
-3.0,3,0.67947
-3.0,3,0.682165
-3.0,3,0.684426
-3.0,3,0.689034
-3.0,3,0.696439
-3.0,3,0.699051
-3.0,3,0.700994
-3.0,3,0.702899
-3.0,3,0.704907
-3.0,3,0.706815
-3.0,3,0.709007
-3.0,3,0.710593
-3.0,3,0.712378
-3.0,3,0.714017
-3.0,3,0.715534
-3.0,3,0.717083
-3.0,3,0.718684
-3.0,3,0.720268
-3.0,3,0.721942
-3.0,3,0.72353
-3.0,3,0.725439
-3.0,3,0.727071
-3.0,3,0.728702
-3.0,3,0.730539
-3.0,3,0.732427
-3.0,3,0.734181
-3.0,3,0.735911
-3.0,3,0.737441
-3.0,3,0.739663
-3.0,3,0.741866
-3.0,3,0.74341
-3.0,3,0.745112
-3.0,3,0.746938
-3.0,3,0.748587
-3.0,3,0.750128
-3.0,3,0.751978
-3.0,3,0.753834
-3.0,3,0.756146
-3.0,3,0.758021
-3.0,3,0.759738
-3.0,3,0.761407
-3.0,3,0.763008
-3.0,3,0.764529
-3.0,3,0.766173
-3.0,3,0.76792
-3.0,3,0.769387
-3.0,3,0.770901
-3.0,3,0.772622
-3.0,3,0.774255
-3.0,3,0.775783
-3.0,3,0.777373
-3.0,3,0.778965
-3.0,3,0.780545
-3.0,3,0.78222
-3.0,3,0.783938
-3.0,3,0.78545
-3.0,3,0.787116
-3.0,3,0.788895
-3.0,3,0.790591
-3.0,3,0.792304
-3.0,3,0.793897
-3.0,3,0.795421
-3.0,3,0.796949
-3.0,3,0.798535
-3.0,3,0.800052
-3.0,3,0.801566
-3.0,3,0.803165
-3.0,3,0.804631
-3.0,3,0.806295
-3.0,3,0.808083
-3.0,3,0.809777
-3.0,3,0.811553
-3.0,3,0.813175
-3.0,3,0.814728
-3.0,3,0.816365
-3.0,3,0.818055
-3.0,3,0.819798
-3.0,3,0.821489
-3.0,3,0.823259
-3.0,3,0.824965
-3.0,3,0.826643
-3.0,3,0.828435
-3.0,3,0.833009
-3.0,3,0.834981
-3.0,3,0.836726
-3.0,3,0.839051
-3.0,3,0.840607
-3.0,3,0.842224
-3.0,3,0.844464
-3.0,3,0.84675
-3.0,3,0.849466
-3.0,3,0.851799
-3.0,3,0.853737
-3.0,3,0.855552
-3.0,3,0.857273
-3.0,3,0.860094
-3.0,3,0.862392
-3.0,3,0.864752
-3.0,3,0.867013
-3.0,3,0.868954
-3.0,3,0.871124
-3.0,3,0.873226
-3.0,3,0.875083
-3.0,3,0.877527
-3.0,3,0.879544
-3.0,3,0.881546
-3.0,3,0.883187
-3.0,3,0.884896
-3.0,3,0.886612
-3.0,3,0.888335
-3.0,3,0.889904
-3.0,3,0.892132
-3.0,3,0.893767
-3.0,3,0.895399
-3.0,3,0.896995
-3.0,3,0.898484
-3.0,3,0.900119
-3.0,3,0.901659
-3.0,3,0.903253
-3.0,3,0.904685
-3.0,3,0.906321
-3.0,3,0.907929
-3.0,3,0.909363
-3.0,3,0.910899
-3.0,3,0.912442
-3.0,3,0.913972
-3.0,3,0.915462
-3.0,3,0.917051
-3.0,3,0.918501
-3.0,3,0.919968
-3.0,3,0.921452
-3.0,3,0.922978
-3.0,3,0.92451
-3.0,3,0.926103
-3.0,3,0.927627
-3.0,3,0.929112
-3.0,3,0.930583
-3.0,3,0.932043
-3.0,3,0.933528
-3.0,3,0.9352
-3.0,3,0.936672
-3.0,3,0.9381
-3.0,3,0.939671
-3.0,3,0.941085
-3.0,3,0.942509
-3.0,3,0.943917
-3.0,3,0.945506
-3.0,3,0.947148
-3.0,3,0.948629
-3.0,3,0.950065
-3.0,3,0.951466
-3.0,3,0.952874
-3.0,3,0.954406
-3.0,3,0.956091
-3.0,3,0.957685
-3.0,3,0.95915
-3.0,3,0.960587
-3.0,3,0.961999
-3.0,3,0.963501
-3.0,3,0.964914
-3.0,3,0.966352
-3.0,3,0.967837
-3.0,3,0.969307
-3.0,3,0.970796
-3.0,3,0.972273
-3.0,3,0.973747
-3.0,3,0.975247
-3.0,3,0.976818
-3.0,3,0.978418
-3.0,3,0.979912
-3.0,3,0.981392
-3.0,3,0.982881
-3.0,3,0.984357
-3.0,3,0.985852
-3.0,3,0.987567
-3.0,3,0.989219
-3.0,3,0.99068
-3.0,3,0.992127
-3.0,3,0.993545
-3.0,3,0.995027
-3.0,3,0.996683
-3.0,3,0.998597
-3.0,3,1.00119
-3.0,3,1.00283
-3.0,3,1.004447
-3.0,3,1.006181
-3.0,3,1.007718
-3.0,3,1.009214
-3.0,3,1.010781
-3.0,3,1.012357
-3.0,3,1.01382
-3.0,3,1.01529
-3.0,3,1.016733
-3.0,3,1.018182
-3.0,3,1.019653
-3.0,3,1.021483
-3.0,3,1.023377
-3.0,3,1.025067
-3.0,3,1.02695
-3.0,3,1.02896
-3.0,3,1.035099
-3.0,3,1.03778
-3.0,3,1.040437
-3.0,3,1.043673
-3.0,3,1.04651
-3.0,3,1.050872
-3.0,3,1.05301
-3.0,3,1.055037
-3.0,3,1.057142
-3.0,3,1.059392
-3.0,3,1.061476
-3.0,3,1.063425
-3.0,3,1.065344
-3.0,3,1.067284
-3.0,3,1.069241
-3.0,3,1.071254
-3.0,3,1.073204
-3.0,3,1.075405
-3.0,3,1.077834
-3.0,3,1.079684
-3.0,3,1.081563
-3.0,3,1.083662
-3.0,3,1.085597
-3.0,3,1.087453
-3.0,3,1.089429
-3.0,3,1.091542
-3.0,3,1.093717
-3.0,3,1.095771
-3.0,3,1.097827
-3.0,3,1.100295
-3.0,3,1.102685
-3.0,3,1.105311
-3.0,3,1.107379
-3.0,3,1.109151
-3.0,3,1.110859
-3.0,3,1.112645
-3.0,3,1.11442
-3.0,3,1.116199
-3.0,3,1.1179
-3.0,3,1.119516
-3.0,3,1.12109
-3.0,3,1.122936
-3.0,3,1.124362
-3.0,3,1.12581
-3.0,3,1.127414
-3.0,3,1.129
-3.0,3,1.1305
-3.0,3,1.131996
-3.0,3,1.13347
-3.0,3,1.135049
-3.0,3,1.13666
-3.0,3,1.138147
-3.0,3,1.139749
-3.0,3,1.141259
-3.0,3,1.142864
-3.0,3,1.14454
-3.0,3,1.146114
-3.0,3,1.148062
-3.0,3,1.14994
-3.0,3,1.151494
-3.0,3,1.153017
-3.0,3,1.154722
-3.0,3,1.156243
-3.0,3,1.157814
-3.0,3,1.159351
-3.0,3,1.160939
-3.0,3,1.162519
-3.0,3,1.164093
-3.0,3,1.165676
-3.0,3,1.16729
-3.0,3,1.168869
-3.0,3,1.170464
-3.0,3,1.172042
-3.0,3,1.173601
-3.0,3,1.175164
-3.0,3,1.176686
-3.0,3,1.17826
-3.0,3,1.179827
-3.0,3,1.181359
-3.0,3,1.182899
-3.0,3,1.184504
-3.0,3,1.186091
-3.0,3,1.187692
-3.0,3,1.189234
-3.0,3,1.19092
-3.0,3,1.192448
-3.0,3,1.194176
-3.0,3,1.195697
-3.0,3,1.197342
-3.0,3,1.199031
-3.0,3,1.200618
-3.0,3,1.2023
-3.0,3,1.203896
-3.0,3,1.205549
-3.0,3,1.207122
-3.0,3,1.208688
-3.0,3,1.210359
-3.0,3,1.212051
-3.0,3,1.213739
-3.0,3,1.215436
-3.0,3,1.217304
-3.0,3,1.219096
-3.0,3,1.220873
-3.0,3,1.223046
-3.0,3,1.22508
-3.0,3,1.227347
-3.0,3,1.228961
-3.0,3,1.230499
-3.0,3,1.232041
-3.0,3,1.233545
-3.0,3,1.235357
-3.0,3,1.237029
-3.0,3,1.23871
-3.0,3,1.240219
-3.0,3,1.241709
-3.0,3,1.243222
-3.0,3,1.244737
-3.0,3,1.246279
-3.0,3,1.247835
-3.0,3,1.249374
-3.0,3,1.250893
-3.0,3,1.252378
-3.0,3,1.253977
-3.0,3,1.255489
-3.0,3,1.257004
-3.0,3,1.258536
-3.0,3,1.260066
-3.0,3,1.261584
-3.0,3,1.2631
-3.0,3,1.264614
-3.0,3,1.266139
-3.0,3,1.267656
-3.0,3,1.269181
-3.0,3,1.270695
-3.0,3,1.272218
-3.0,3,1.273732
-3.0,3,1.275244
-3.0,3,1.276767
-3.0,3,1.278285
-3.0,3,1.27979
-3.0,3,1.281299
-3.0,3,1.282818
-3.0,3,1.284326
-3.0,3,1.285827
-3.0,3,1.28734
-3.0,3,1.288848
-3.0,3,1.290369
-3.0,3,1.291885
-3.0,3,1.293402
-3.0,3,1.294923
-3.0,3,1.296443
-3.0,3,1.297951
-3.0,3,1.299472
-3.0,3,1.300981
-3.0,3,1.302494
-3.0,3,1.304003
-3.0,3,1.305512
-3.0,3,1.307024
-3.0,3,1.308548
-3.0,3,1.310079
-3.0,3,1.311608
-3.0,3,1.313122
-3.0,3,1.31464
-3.0,3,1.31614
-3.0,3,1.317729
-3.0,3,1.319272
-3.0,3,1.320867
-3.0,3,1.322383
-3.0,3,1.323924
-3.0,3,1.325457
-3.0,3,1.326986
-3.0,3,1.328506
-3.0,3,1.329975
-3.0,3,1.331471
-3.0,3,1.333012
-3.0,3,1.334536
-3.0,3,1.336153
-3.0,3,1.33768
-3.0,3,1.339271
-3.0,3,1.340774
-3.0,3,1.34228
-3.0,3,1.343797
-3.0,3,1.345291
-3.0,3,1.346791
-3.0,3,1.348342
-3.0,3,1.34983
-3.0,3,1.351324
-3.0,3,1.352822
-3.0,3,1.354337
-3.0,3,1.355897
-3.0,3,1.357385
-3.0,3,1.358877
-3.0,3,1.360371
-3.0,3,1.361861
-3.0,3,1.363505
-3.0,3,1.365189
-3.0,3,1.366946
-3.0,3,1.368553
-3.0,3,1.370288
-3.0,3,1.371996
-3.0,3,1.373695
-3.0,3,1.375413
-3.0,3,1.377089
-3.0,3,1.378812
-3.0,3,1.380576
-3.0,3,1.38231
-3.0,3,1.384041
-3.0,3,1.385772
-3.0,3,1.3875
-3.0,3,1.389179
-3.0,3,1.390928
-3.0,3,1.392664
-3.0,3,1.394251
-3.0,3,1.395817
-3.0,3,1.39734
-3.0,3,1.398846
-3.0,3,1.400248
-3.0,3,1.401662
-3.0,3,1.40317
-3.0,3,1.404677
-3.0,3,1.406376
-3.0,3,1.408242
-3.0,3,1.410012
-3.0,3,1.411702
-3.0,3,1.413313
